MetaAchievementCategoryId,Parent Category,Index,Title
Special_Achievements,,1,@ui_player_titles_section_label_special
Enemies_By_Type,,2,@ui_meta_achievements_enemies_by_type
Enemies_By_Name,,3,@ui_meta_achievements_enemies_by_name
Invasions_And_Breaches,,4,@ui_meta_achievements_invasions_and_breaches
PvE_Kill_Counts,,5,@ui_meta_achievements_kill_counts
Gathering,,6,@ui_meta_achievements_gathering
Dungeon_Bosses,,7,@ui_meta_achievements_dungeon_bosses
Arenas,,8,@ui_meta_achievements_arenas
Dungeon_Runs,,9,@ui_meta_achievements_dungeon_runs
Factions,,10,@ui_meta_achievements_factions
Duels,,11,@ui_meta_achievements_duels
Control_Points,,12,@ui_meta_achievements_control_points
Wars,,13,@ui_meta_achievements_wars
Outpost_Rush,,14,@ui_meta_achievements_outpost_rush
PvP_Kill_Counts,,15,@ui_meta_achievements_kill_counts
PVP_Territory_Ownership,,16,@ui_player_titles_territory_ownership_label
Territory_Stories,,17,@ui_meta_achievements_territory_stories
Total_Completed,,18,@ui_meta_achievements_total_completed
PvE_Skill_Based,,19,@ui_meta_achievements_pve_skill_based
PvE_Support,,20,@ui_meta_achievements_pve_support
PvE_By_Territory,,21,@ui_meta_achievements_pve_by_territory
PvP_Stir_The_Pot,,22,@ui_meta_achievements_pvp_stir_the_pot
PvP_By_Territory,,23,@ui_meta_achievements_pvp_by_territory
Missions,,24,@ui_meta_achievements_missions
Missions_Total,,25,@ui_meta_achievements_mission_total_count
Overall,,26,@ui_meta_achievements_overall
Skill_Levels,,27,@ui_meta_achievements_skill_levels
Gear_Bonuses,,28,@ui_meta_achievements_gear_bonuses
Housing,,29,@ui_meta_achievements_housing
Territory_Standing,,30,@ui_meta_achievements_territory_standing
Faction_Ranking,,31,@ui_meta_achievements_faction_ranking
Weapon_Mastery,,32,@ui_meta_achievements_weapon_mastery
Crafting_Count,,33,@ui_meta_achievements_crafting_count
Refining_Count,,34,@ui_meta_achievements_refining_count
Gather_Count,,35,@ui_meta_achievements_gather_count
Named_Item_Crafting,,36,@ui_meta_achievements_named_item_crafting
Repairs,,37,@ui_meta_achievements_repairs
Instanced_Teamplay,,38,@ui_meta_achievements_instanced_teamplay
Lore_Pages,,39,@ui_meta_achievements_lore_pages
TotalKills,,40,@ui_player_titles_section_label_totalkills
Player_Actions,,41,@ui_meta_achievements_player_actions
Camping,,42,@ui_meta_achievements_camping
Fishing,,43,@ui_meta_achievements_fishing
Looting,,44,@ui_meta_achievements_looting
Achievements,,45,@ui_meta_achievements_achievements
Titles,,46,@ui_meta_achievements_titles
Places_Discovered,,47,@ui_meta_achievements_places_discovered
Specific_Named_Places,,48,@ui_meta_achievements_specific_named_places
Per_Territory,,49,@ui_meta_achievements_per_territory
Hamlets,,50,@ui_meta_achievements_hamlets
Test_Titles_Only,,51,@ui_player_titles_section_label_test_only
PvP_Arenas,,52,@ui_meta_achievements_pvp_arenas
PvP_Rewards_Track,,53,@ui_meta_achievements_pvp_rewards_track
Musical_Instruments,,54,@ui_meta_achievements_musical_instruments
Leaderboard,,55,@ui_meta_achievements_leaderboards
Seasons,,56,@ui_player_titles_section_label_seasons
