Level,Potions,Coatings,Enchantments,Weapons,Armors,Guns,Bows,Clothing,Trinkets,Meals,Drinks,RollBonus
0,120,120,120,120,120,120,120,120,120,120,120,0
1,144,144,144,144,144,144,144,144,144,144,144,0.5
2,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,172.8,1
3,207.36,207.36,207.36,207.36,207.36,207.36,207.36,207.36,207.36,207.36,207.36,1.5
4,248.832,248.832,248.832,248.832,248.832,248.832,248.832,248.832,248.832,248.832,248.832,2
5,298.5984,298.5984,298.5984,298.5984,298.5984,298.5984,298.5984,298.5984,298.5984,298.5984,298.5984,2.5
6,358.31808,358.31808,358.31808,358.31808,358.31808,358.31808,358.31808,358.31808,358.31808,358.31808,358.31808,3
7,429.981696,429.981696,429.981696,429.981696,429.981696,429.981696,429.981696,429.981696,429.981696,429.981696,429.981696,3.5
8,515.978035,515.978035,515.978035,515.978035,515.978035,515.978035,515.978035,515.978035,515.978035,515.978035,515.978035,4
9,619.173642,619.173642,619.173642,619.173642,619.173642,619.173642,619.173642,619.173642,619.173642,619.173642,619.173642,4.5
10,743.008371,743.008371,743.008371,743.008371,743.008371,743.008371,743.008371,743.008371,743.008371,743.008371,743.008371,5
11,891.610045,891.610045,891.610045,891.610045,891.610045,891.610045,891.610045,891.610045,891.610045,891.610045,891.610045,5.5
12,1069.932054,1069.932054,1069.932054,1069.932054,1069.932054,1069.932054,1069.932054,1069.932054,1069.932054,1069.932054,1069.932054,6
13,1283.918465,1283.918465,1283.918465,1283.918465,1283.918465,1283.918465,1283.918465,1283.918465,1283.918465,1283.918465,1283.918465,6.5
14,1540.702157,1540.702157,1540.702157,1540.702157,1540.702157,1540.702157,1540.702157,1540.702157,1540.702157,1540.702157,1540.702157,7
15,1848.842589,1848.842589,1848.842589,1848.842589,1848.842589,1848.842589,1848.842589,1848.842589,1848.842589,1848.842589,1848.842589,7.5
16,2218.611107,2218.611107,2218.611107,2218.611107,2218.611107,2218.611107,2218.611107,2218.611107,2218.611107,2218.611107,2218.611107,8
17,2662.333328,2662.333328,2662.333328,2662.333328,2662.333328,2662.333328,2662.333328,2662.333328,2662.333328,2662.333328,2662.333328,8.5
18,3194.799994,3194.799994,3194.799994,3194.799994,3194.799994,3194.799994,3194.799994,3194.799994,3194.799994,3194.799994,3194.799994,9
19,3833.759992,3833.759992,3833.759992,3833.759992,3833.759992,3833.759992,3833.759992,3833.759992,3833.759992,3833.759992,3833.759992,9.5
20,4600.511991,4600.511991,4600.511991,4600.511991,4600.511991,4600.511991,4600.511991,4600.511991,4600.511991,4600.511991,4600.511991,10
21,5520.614389,5520.614389,5520.614389,5520.614389,5520.614389,5520.614389,5520.614389,5520.614389,5520.614389,5520.614389,5520.614389,10.5
22,6624.737267,6624.737267,6624.737267,6624.737267,6624.737267,6624.737267,6624.737267,6624.737267,6624.737267,6624.737267,6624.737267,11
23,7949.68472,7949.68472,7949.68472,7949.68472,7949.68472,7949.68472,7949.68472,7949.68472,7949.68472,7949.68472,7949.68472,11.5
24,9539.621664,9539.621664,9539.621664,9539.621664,9539.621664,9539.621664,9539.621664,9539.621664,9539.621664,9539.621664,9539.621664,12
25,11447.545997,11447.545997,11447.545997,11447.545997,11447.545997,11447.545997,11447.545997,11447.545997,11447.545997,11447.545997,11447.545997,12.5
26,13737.055197,13737.055197,13737.055197,13737.055197,13737.055197,13737.055197,13737.055197,13737.055197,13737.055197,13737.055197,13737.055197,13
27,16484.466236,16484.466236,16484.466236,16484.466236,16484.466236,16484.466236,16484.466236,16484.466236,16484.466236,16484.466236,16484.466236,13.5
28,19781.359483,19781.359483,19781.359483,19781.359483,19781.359483,19781.359483,19781.359483,19781.359483,19781.359483,19781.359483,19781.359483,14
29,23737.63138,23737.63138,23737.63138,23737.63138,23737.63138,23737.63138,23737.63138,23737.63138,23737.63138,23737.63138,23737.63138,14.5
30,28485.157656,28485.157656,28485.157656,28485.157656,28485.157656,28485.157656,28485.157656,28485.157656,28485.157656,28485.157656,28485.157656,15
31,34182.189187,34182.189187,34182.189187,34182.189187,34182.189187,34182.189187,34182.189187,34182.189187,34182.189187,34182.189187,34182.189187,15.5
32,41018.627025,41018.627025,41018.627025,41018.627025,41018.627025,41018.627025,41018.627025,41018.627025,41018.627025,41018.627025,41018.627025,16
33,49222.35243,49222.35243,49222.35243,49222.35243,49222.35243,49222.35243,49222.35243,49222.35243,49222.35243,49222.35243,49222.35243,16.5
34,59066.822915,59066.822915,59066.822915,59066.822915,59066.822915,59066.822915,59066.822915,59066.822915,59066.822915,59066.822915,59066.822915,17
