SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,DoNotSyncToJointOnClient,UseDirectTargetAsAttachOwner,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,SpawnBeamCasterJoint,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,EvenlyDistributeMeteorSpawns,SecondarySpellProjectileLaunchAngles,SecondaryProjectileLaunchMinZSpeeds,SecondaryProjectileLaunchMaxZSpeeds,SecondaryProjectileLaunchZOffset,IgnoreRotationForSecondaryProjectileLaunchZSpd,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,IsUnaffiliated,WeaponSlotOverride,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,AOECharRelPosOffsetX,AOECharRelPosOffsetY,AOECharRelPosOffsetZ,AOECharRelRotOffsetX,AOECharRelRotOffsetY,AOECharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID
AI_PG_Kneelrattle,AI_IoN_EncManagement_PGKneelSignal,,,,true,,,,,,,false,false,false,,,false,false,,false,5500,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,All,Elemental,AoE,,,Sphere,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineGuards_Signal_Kneeling,,,,
AI_PG_Deathrattle_Shield,AI_IoN_EncManagement_PGDeathSignal_Shield,,,,true,,,,,,,false,false,false,,,false,false,,false,5500,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,All,Elemental,AoE,,,Sphere,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineGuards_Signal_Dead,,,,
AI_PG_Deathrattle_Bow,AI_IoN_EncManagement_PGDeathSignal_Bow,,,,true,,,,,,,false,false,false,,,false,false,,false,5500,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,All,Elemental,AoE,,,Sphere,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineGuards_Signal_Dead,,,,
AI_PG_Deathrattle_Sword,AI_IoN_EncManagement_PGDeathSignal_Sword,,,,true,,,,,,,false,false,false,,,false,false,,false,5500,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,All,Elemental,AoE,,,Sphere,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineGuards_Signal_Dead,,,,
AI_PG_Deathrattle_Halberd,AI_IoN_EncManagement_PGDeathSignal_Halberd,,,,true,,,,,,,false,false,false,,,false,false,,false,5500,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,All,Elemental,AoE,,,Sphere,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineGuards_Signal_Dead,,,,
AI_PG_Deathrattle,AI_IoN_EncManagement_PGDeathSignal,,,,true,,,,,,,false,false,false,,,false,false,,false,5500,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,All,Elemental,AoE,,,Sphere,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineGuards_Signal_Dead,,,,
AI_Manager_Sacrifice_Call,AI_IoN_EncManagement_SacrificeOrder,,,,true,,,,,,,false,true,false,,,false,false,,false,3000,,,,,,,,0,0,,,,0,,,,,,,,,,,,,,,,,All,Elemental,AoE,,,Sphere,,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_IoN_Encounter2_Sacrifice_CallSpell,,,,
AI_Manager_Sacrifice_Spell,,,,,,,,,,,,true,false,false,,true,true,false,,false,10000,,3,,70,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_IoN_Encounter2_Sacrifice_ArenaSpell,,,,
AI_PalatineDeath_ExpungeMark,AI_PalatineDeath_AbyssMark_Expunge,,,,,,,,,,,,,,,,,true,,,1400,,3,,6,,,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_PalatineDeath_ExpungeMark,,,,
AI_Dahut_Sacrifice_Timer,AI_Dahut_Sacrifice_Timer,,,,true,,,,,,,,,,,,false,false,,true,8000,,5,,70,,,,0,0,,,,0,,,,,,,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dungeon/Raid_MonarchBluff/Encounter2_HeiressAndPG/AI_Dahut_Sacrifice_Timer,,,,
