SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,UseDirectTargetAsAttachOwner,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,AttachProjectileOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,WeaponSlotOverride,RangedAttackProfile,RangedAttackName,AmmoSlot,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID
Spell_Bow_Spell_RainOfArrows,,,,,,,,,,,,,,,,,true,true,SpecialAttack,false,5000,,5,,4,,,,50,40,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,,,true,true,,,,,,arrow-ammo,,,,,,,,,,,,,,,,DamageTable,Bow_RainOfArrows_Attack,,,,,Items/Weapons/spell_aoe_rainofarrowslarge,,,,
Spell_Ability_Bow_PoisonShot_Projectile,,,,,,,,,true,true,,,,,,,,true,,false,2000,,,,,,,,10,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,,,true,,,,Bow,SmokeShot,arrow-ammo,,,,,,,,,,,,,,,,DamageTable,Bow_PoisonShot,,,,,items/weapons/smoke_arrow,Items/Weapons/spell_bow_smoke,Spell_Ability_Bow_PoisonShot_Aoe,,
Spell_Ability_Bow_PoisonShot_Projectile_Upgrade,,,,,,,,,true,true,,,,,,,,true,,false,2000,,,,,,,,10,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,,,true,,,,Bow,SmokeShot,arrow-ammo,,,,,,,,,,,,,,,,DamageTable,Bow_PoisonShot,,,,,items/weapons/smoke_arrow_aoe,Items/Weapons/spell_bow_smoke_aoe,Spell_Ability_Bow_PoisonShot_Aoe_Upgrade,,
Spell_Ability_Bow_PoisonShot_Aoe,Status_Bow_Poison,,,,,,,,,,,,,,,,,,,true,6000,,5,,3,,,,25,5,5,,,0,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_bow_smoke,,,,
Spell_Ability_Bow_PoisonShot_Aoe_Upgrade,Status_Bow_Poison_Upgrade,,,,,,,,,,,,,,,,,,,true,6000,,5,,3,,,,25,5,5,,,0,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_bow_smoke_aoe,,,,
Spell_Passive_Bow_Skirmish_HasteWhenFoesNear,,,,,true,,,,,,,,,,,true,true,true,,false,-1,,,,4,,,,0,,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,,,,Passive_Bow_Skirmish_HasteWhenFoesNear,,,,Items/Weapons/spell_NumAroundMe_Enemy,,,,
Spell_Ability_Bow_Explosive_Base,,,,,,,,,,true,,,,,,,,,,false,500,,,,,,,,10,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,,,true,,,,Bow,ExplosionShot,arrow-ammo,,,,,,,,,,,,,,,,DamageTable,Bow_ExplosionShot_Projectile,,,,,items/weapons/basic_arrow_spread,items/weapons/spell_aoe_explosionshot,Spell_Ability_Bow_ExplosiveShot_Explosion,,
Spell_Ability_Bow_Explosive_Upgrade,,,,,,,,,,true,,,,,,,,,,false,500,,,,,,,,10,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,,,true,,,,Bow,ExplosionShot,arrow-ammo,,,,,,,,,,,,,,,,DamageTable,Bow_ExplosionShot_Projectile,,,,,items/weapons/basic_arrow_spread,items/weapons/spell_aoe_explosionshot_small,Spell_Ability_Bow_ExplosiveShot_Explosion_SizeChange,,
Spell_Ability_Bow_ExplosiveShot_Explosion,,,,,,,,,,,,,,,,,,,,false,1000,,5,,2.5,,,,10,,,,,0,,,,,,,,,,,Enemy,Ability,AOE,,,Sphere,,,true,,,,Bow,ExplosionShot,arrow-ammo,,,,,,,,,,,,,,,,,,,,,,items/weapons/spell_aoe_explosionshot,,,,
Spell_Ability_Bow_ExplosiveShot_Explosion_SizeChange,,,,,,,,,,,,,,,,,,,,false,1000,,5,,1.25,,,,10,,,,,0,,,,,,,,,,,Enemy,Ability,AOE,,,Sphere,,,true,,,,Bow,ExplosionShot,arrow-ammo,,,,,,,,,,,,,,,,,,,,,,items/weapons/spell_aoe_explosionshot_small,,,,
