SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID
IceMagic_Light_Projectile,,,,,,,true,,,,,,,,,true,IceMagic_Primary,false,-1,,,,,,,,20,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Ice,,true,,,IceMagic,Primary,,,,,,,,,,,,,,,,DamageTable,IceMagic_Primary,,,,,Items/Weapons/IceMagic_Primary_proj,,,,
IceMagic_Heavy_Projectile,,,,,,,,,,,,,,,,true,IceMagic_Heavy,false,-1,,,,,,,,20,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Ice,,true,,,IceMagic,Heavy,,,,,,,,,,,,,,,,DamageTable,IceMagic_Heavy,,,,,Items/Weapons/IceMagic_Heavy_proj,,,,
IceMagic_Spell_IceStorm,"IceMagic_IceStorm,IceMagic_IceStorm_Damage",,,,,,,,,,,,,true,true,true,IceMagic_IceStorm,false,10000,,5,,5,,,,20,20,5,,,0,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,Ice,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,IceMagic_IceStorm,IceStormPunishingStorm,,,,Items/Weapons/spell_aoe_blizzard,,,,
IceMagic_Spell_IceStorm_UT,"IceMagic_IceStorm,IceMagic_IceStorm_Damage,IceMagic_IceStorm_UT",,,,,,,,,,,,,true,true,true,IceMagic_IceStorm,false,10000,,5,,5,,,,20,20,5,,,0,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,Ice,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,IceMagic_IceStorm,IceStormPunishingStorm,,,,Items/Weapons/spell_aoe_blizzard,,,,
IceMagic_Spell_IceStorm_Mana,"IceMagic_IceStorm,IceMagic_IceStorm_Damage",,,,,,,,,,,,,true,true,true,IceMagic_IceStorm_Mana,false,10000,,5,,5,,,,20,20,5,,,0,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,Ice,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,IceMagic_IceStorm,IceStormPunishingStorm,,,,Items/Weapons/spell_aoe_blizzard,,,,
IceMagic_Spell_IceStorm_Mana_UT,"IceMagic_IceStorm,IceMagic_IceStorm_Damage,IceMagic_IceStorm_UT",,,,,,,,,,,,,true,true,true,IceMagic_IceStorm_Mana,false,10000,,5,,5,,,,20,20,5,,,0,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,Ice,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,IceMagic_IceStorm,IceStormPunishingStorm,,,,Items/Weapons/spell_aoe_blizzard,,,,
IceMagic_Spell_IceStorm_Damage,,,,,,,,,,,,,,,true,true,,false,100,,5,,5,,,,20,20,5,,,0,,,,,,,,,,,Enemy,Elemental,AoE,,,Sphere,Ice,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,IceMagic_IceStorm,,,,,Items/Weapons/spell_aoe_blizzard_damage,,,,
IceMagic_Spell_Shower1,IceMagic_Frostbite,,,,,,,,,,true,true,,,true,true,IceMagic_IceShower,false,-1,,3,0.5,0.5,,,,2.8,6,,,,0,,,,,,,,,,,Enemy,Elemental,NoTargetSpawnFromRaycast,,,Box,Ice,true,true,,,,,,,,,,,,,3,,,,60,,,,,,,,,Items/Weapons/spell_aoe_shower,,,,
IceMagic_Spell_Shower2,IceMagic_Frostbite,,,,,,,,,,true,true,,,true,true,Zero_Mana,false,-1,,3,0.5,0.5,,,,2.25,6,,,,0,,,,,,,,,,,Enemy,Elemental,NoTargetSpawnFromRaycast,,,Box,Ice,true,true,,,,,,,,,,,,,3,,,,35,,,,,,,,,Items/Weapons/spell_aoe_shower,,,,
IceMagic_Spell_Shower3,IceMagic_Frostbite,,,,,,,,,,true,true,,,true,true,Zero_Mana,false,-1,,3,0.5,0.5,,,,2,6,,,,0,,,,,,,,,,,Enemy,Elemental,NoTargetSpawnFromRaycast,,,Box,Ice,true,true,,,,,,,,,,,,,3,,,,,,,,,,,,,Items/Weapons/spell_aoe_shower,,,,
