SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,UseDirectTargetAsAttachOwner,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,SpawnSecondaryOnPassthrough,AttachProjectileOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,WeaponSlotOverride,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID,TrackableByOwner
VoidGauntlet_Light_Projectile,,,,,,,,,,,,,,,,,,,true,VoidGauntlet_Primary,false,-1,,,,,,,,20,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Corruption,,true,,,,VoidGauntlet,Primary,,,,,,,,,,,,,,,,DamageTable,VoidGauntlet_Primary,,,,,Items/Weapons/VoidGauntlet_Primary_proj,,,,,
VoidGauntlet_Heavy_Projectile,,,,,,,,,,,,,,,,,,,true,VoidGauntlet_Heavy,false,-1,,,,,,,,20,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Corruption,,true,,,,VoidGauntlet,Heavy,,,,,,,,,,,,,,,,DamageTable,VoidGauntlet_Heavy,,,,,Items/Weapons/VoidGauntlet_Heavy_proj,,,,,
VoidGauntlet_VoidBlade,,,,,,,,,,,,,,,,,,,true,VoidGauntlet_VoidBlade,false,-1,,,,,,,,20,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Corruption,,true,,,,VoidGauntlet,Primary,,,,,,,,,,,,,,,,DamageTable,VoidGauntlet_Primary,,,,,Items/Weapons/VoidGauntlet_Primary_proj,,,,,
VoidGauntlet_NullChamber_AoE,,,,,,,,,,,,,,,,,,true,true,VoidGauntlet_NullChamber,false,-1,,5,,5,,,,20,5,4,,,0,,,,,,,,,,,All,Ability,AoE,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,,DamageTable,VoidGauntlet_Oblivion,,,,,Items/Weapons/VoidGauntlet_Spell_AoE_NullChamber,,VoidGauntlet_NullChamber_DoT,,VoidGauntlet_NullChamber_Empower,true
VoidGauntlet_NullChamber_AoE_BonusStamina,,,,,,,,,,,,,,,,,,true,true,VoidGauntlet_NullChamber,false,-1,,5,,5,,,,20,5,4,,,0,,,,,,,,,,,All,Ability,AoE,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,,DamageTable,VoidGauntlet_Oblivion,,,,,Items/Weapons/VoidGauntlet_Spell_AoE_NullChamber,,VoidGauntlet_NullChamber_DoT,,VoidGauntlet_NullChamber_Empower_BonusStamina,true
VoidGauntlet_NullChamber_DoT,VoidGauntlet_NullChamber_DoT,,,,,,,,,,,,,,,,,true,true,,false,-1,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Ability,,,,,,,,,,,,,,,,,,,,,,,,,,,,DamageTable,VoidGauntlet_Oblivion,,,,,,,,,,
VoidGauntlet_NullChamber_Empower,VoidGauntlet_NullChamber_Empower,,,,,,,,,,,,,,,,,true,true,,false,-1,,,,,,,,,,,,,,,,,,,,,,,,Friend,Ability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VoidGauntlet_NullChamber_Empower_BonusStamina,"VoidGauntlet_NullChamber_Empower,VoidGauntlet_NullChamber_BonusStamina",,,,,,,,,,,,,,,,,true,true,,false,-1,,,,,,,,,,,,,,,,,,,,,,,,Friend,Ability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VoidGauntlet_NullChamber_Nullify_AoE,VoidGauntlet_NullChamber_Nullify_AoE,,,,,,,,,,,,,,,,,false,false,,true,300,,,,5,,,,20,,,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,,true,,,,,,,,,,,,,,,,,,,,,DamageTable,VoidGauntlet_Oblivion,,,,,Items/Weapons/spell_aoe_leadership_enemy,,,,,
VoidGauntlet_Scream,,,,,,,,,,,,,,,,,,,true,VoidGauntlet_Scream,false,-1,,,,,,,,20,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Corruption,,true,,,,VoidGauntlet,Primary,,,,,,,,,,,,,,,,DamageTable,VoidGauntlet_Primary,,,,,Items/Weapons/VoidGauntlet_Primary_proj,,,,,
VoidGauntlet_DecayingOrb,,,,,,,,,,,,,,,,,,,true,VoidGauntlet_DecayingOrb,false,-1,,,,,,,,20,,,,,0,,,,,,,,,,,Enemy,Ability,Projectile,,,,Corruption,,true,false,true,,VoidGauntlet,DecayingOrb,,,,,,,,,,,,,,,,DamageTable,VoidGauntlet_DecayingOrb,,,,,Items/Weapons/VoidGauntlet_DecayingOrb_Projectile,,,,,true
VoidGauntlet_DecayingOrb_Heal,,,,,,,,,,,true,,,,,,,,true,,false,-1,,,,,,,,20,,,,,0,,,,,,,,,,,Friend,Ability,Projectile,,,,,,true,false,false,,VoidGauntlet,DecayingOrb_Heal,,,,,,,,,,,,,,,,DamageTable,VoidGauntlet_DecayingOrb_Heal,,,,,Items/Weapons/VoidGauntlet_DecayingOrb_Heal_Projectile,Items/Weapons/spell_aoe_leadership,VoidGauntlet_DecayingOrb_Heal_AoE,,,true
VoidGauntlet_DecayingOrb_Heal_AoE,VoidGauntlet_DecayingOrb_Heal,,,,,,,,,,,,,,,,,false,false,,true,200,,5,,1,,,,25,5,,,,0,,,,,,,,,,,Friend,Ability,AoE,,,Sphere,,,true,,false,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/spell_aoe_leadership,,,,,true
