SpellID,StatusEffects,StatusEffectDurations,Revive,Siphon,AttachToOwner,StickWhenAttached,StoreOffsetWhenStuckToGDE,SpawnSecondaryOnElapsed,SpawnSecondaryOnCollision,EndOnCasterDeath,IgnoreTargetIfAtDeathsDoor,IgnoreTargetIfDead,UseCameraTargetLock,TrackNumInVolume,ClearOnExit,ClearOnEnd,ManaCost,UseStatusEffectDuration,Duration,DurationScaling,Height,Length,Radius,InnerRadius,RadiusScaling,MaxRadiusScaling,CastDistance,CastHeight,CastRadius,ConeAngle,ConeWidth,ChannelTime,ChainDelayDuration,MaxChainNum,UseChainCasterPaperdoll,NumToSpawn,NumToSpawnBeforeFail,SpawnRate,SpawnAngle,SecondarySpellProjectileLaunchAngles,ScaleWithCharacterBoundingBox,ScaleWithDynamicScale,TargetTypes,SpellTypes,CastingTypes,HitAiTarget,OverrideTargetForAiThreat,ShapeTypes,DamageType,CheckObstructions,IgnoreOverheadCollision,IgnoreStructures,IgnoreSelf,RangedAttackProfile,RangedAttackName,FireJointName,ProjPosOffsetX,ProjPosOffsetY,ProjPosOffsetZ,ProjRotOffsetX,ProjRotOffsetY,ProjRotOffsetZ,CharRelPosOffsetX,CharRelPosOffsetY,CharRelPosOffsetZ,CharRelRotOffsetX,CharRelRotOffsetY,CharRelRotOffsetZ,ProjRaycastOrientation,BaseDamage,DamageTable,DamageTableRow,AbilityId,TargetAbilityCondition,BeamEffect,IndicatorVFX,SpellPrefabPath,SecondaryPrefabPath,SecondarySpellID,TertiaryPrefabPath,TertiarySpellID
War_Hammer_Special,,,,,,,,,,,,,,,true,true,SpecialAttack,false,770,,1.5,,4,,,,1.2,1.5,4,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,,,,true,,,,,,,,,,,,,,,,,,,,DamageTable,Warhammer_Special_Attack3,,,,,Items/Weapons/spell_war_hammer_special,,,,
War_Hammer_GroupBuff,Warhammer_GroupBuff,,,,,,,,,,,,,,false,false,,true,6000,,5,,3,,,,0,5,,,,0,,,,,,,,,,,Friend,Celestial,AoE,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,Items/Weapons/Warhammer_GroupBuff,,,,
WarHammer_Spell_MightyGavel,,,,,,,,,,,,,,,true,true,SpecialAttack,false,600,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Ability,AoE,,,,,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,Warhammer_Damage_MightyGavel,,,,,Items/Weapons/WarHammer_Spell_MightyGavel_Ground,,,,
WarHammer_Spell_MightyGavel_Upg,,,,,,,,,,,,,,,true,true,SpecialAttack,false,600,,,,,,,,,,,,,,,,,,,,,,,,Enemy,Ability,AoE,,,,,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,Warhammer_Damage_MightyGavel_Upg,,,,,Items/Weapons/WarHammer_Spell_MightyGavel_Ground,,,,
WarHammer_Spell_PathOfDestiny,,,,,,,,,,,,,,,true,true,SpecialAttack,false,770,,2,,4,,,,3.8,5,0,,,0,,,,3,3,200,,,,,Enemy,Ability,PathOfDestiny,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,Warhammer_Damage_PathOfDestiny,,,,,Items/Weapons/WarHammer_Spell_PoD_L1_Spawner,Items/Weapons/WarHammer_Spell_PoD_L1_Effect,,,
WarHammer_Spell_PathOfDestiny_L2,,,,,,,,,,,,,,,true,true,SpecialAttack,false,770,,2,,4,,,,3.8,5,0,,,0,,,,3,3,200,,,,,Enemy,Ability,PathOfDestiny,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,Warhammer_Damage_PathOfDestiny_L2,,,,,Items/Weapons/WarHammer_Spell_PoD_L2_Spawner,Items/Weapons/WarHammer_Spell_PoD_L2_Effect,,,
WarHammer_Spell_PathOfDestiny_L3,,,,,,,,,,,,,,,true,true,SpecialAttack,false,770,,2,,4,,,,3.8,5,0,,,0,,,,3,3,200,,,,,Enemy,Ability,PathOfDestiny,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,Warhammer_Damage_PathOfDestiny_L3,,,,,Items/Weapons/WarHammer_Spell_PoD_L3_Spawner,Items/Weapons/WarHammer_Spell_PoD_L2_Effect,,,
WarHammer_Spell_Shockwave,,,,,,,,,,,,,,,true,true,SpecialAttack,false,6000,,,,3,,,,0,0,0,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,Warhammer_Damage_Shockwave,,,,,Items/Weapons/WarHammer_Spell_Shockwave_Effect_L1,,,,
WarHammer_Spell_Shockwave_L2,,,,,,,,,,,,,,,true,true,SpecialAttack,false,6000,,,,4,,,,0,0,0,,,0,,,,,,,,,,,Enemy,Ability,AoE,,,Sphere,,true,true,,,,,,,,,,,,,,,,,,,,DamageTable,Warhammer_Damage_Shockwave_L2,,,,,Items/Weapons/WarHammer_Spell_Shockwave_Effect_L2,,,,
Warhammer_WreckingBall_Channel,,,,,,,,,,,,,,,true,true,,false,8000,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
