ID,Min,Max
MaxHealth,0,0
HealthRate,0,0
HealMod,0,0
ConsumableHealMod,0,0
NonConsumableHealMod,0,0
DmgPctToHealthHealMod,0,0
FoodBurn,0,0
MaxFood,0,0
DrinkBurn,0,0
MaxDrink,0,0
StaminaRate,0,0
MaxStamina,0,0
MaxGrit,0,0
ComfortRange,0,0
Luck,0,0
BountyBonus,0,0
BlacksmithingChance,0,0
OutfitterChance,0,0
CookingChance,0,0
AlchemyChance,0,0
WorkshopChance,0,0
ConstructionEfficiency,0,0
WoodsmanChance,0,0
BrewingChance,0,0
HorticultureChance,0,0
MiningChance,0,0
ConsumptionSpeed,0,0
FishingChance,0,0
DeathsDoorTime,0,0
DeathsDoorDelay,0,0
HelpUpHealthPct,0,0
OneHandSwordDamage,0,0
TwoHandSwordDamage,0,0
OneHandAxeDamage,0,0
TwoHandAxeDamage,0,0
OneHandSpearDamage,0,0
TwoHandSpearDamage,0,0
OneHandClubDamage,0,0
TwoHandClubDamage,0,0
OneHandPickDamage,0,0
TwoHandPickDamage,0,0
KnifeDamage,0,0
RifleDamage,0,0
PistolDamage,0,0
BowDamage,0,0
UnarmedDamage,0,0
StaminaDamage,0,0
ManaRate,0,0
MaxMana,0,0
BlockStability,0,0
ManaCost,0,0
MoveSpeedMod,0,1.5
SprintSpeedMod,0,1.5
FastTravelEncumbrance,0,0
FastTravelInnCooldown,0,0
FastTravelAzothCost,0,0
FishRarity,0,0
FishSize,0,0
MaxCastDistance,0,0
FishingLineStrength,0,0
PhysicalArmorMaxHealth,0,0
RepairDustYield,0,0
ToolDurabilityLoss,0,0
AzothMod,0,0
FactionReputationMod,0,0
FactionTokensMod,0,0
LootTableDiverted,0,0
SummerFishRarity,0,0
TerritoryStandingMod,0,0
MaxMountStaminaMod,0,0
MountStaminaRate,0,0
MountStaminaDrainRate,0,0
MountOnRoadDashSpeedMod,0,0
MountOffRoadDashSpeedMod,0,0
MountSummonTimeMod,0,0
FallDamageMod,0,0
MountBonusEncumbranceMod,0,0
BaseDamage,0,0
CooldownReduction,0,0
ReviveSpeed,0,0
BeingRevivedSpeed,0,0
ReviveHealthGainedInPctOfMaxHealth,0,0
ReviveHealthGivenInPctOfMaxHealth,0,0
AoeSpellRadiusScaling,0,0
