StatusEffectCategoryID,DurationDiminishingMod,DurationModMin,DurationModMax,PotencyDiminishingMod,PotencyModMin,PotencyModMax,ValueLimits
Stun,-0.5,-1,0,0,0,0,
Slow,-0.2,-0.8,0,0,0,0,"MoveSpeedMod:-0.5,SprintSpeedMod:-0.5"
Root,-0.5,-1,0,0,0,0,
Silence,-0.2,-0.8,0,0,0,0,
Rend,,,,,,,"ABSStandard:-0.3,ABSSiege:-0.3,ABSStrike:-0.3,ABSSlash:-0.3,ABSThrust:-0.3,ABSArcane:-0.3,ABSFire:-0.3,ABSIce:-0.3,ABSNature:-0.3,ABSLightning:-0.3,ABSCorruption:-0.3,ABSAcid:-0.3"
ArmorRend,,,,,,,"PhysicalArmor:-0.7,ElementalArmor:-0.7"
Fortify,,,,,,,"ABSStandard:0.5,ABSSiege:0.5,ABSStrike:0.5,ABSSlash:0.5,ABSThrust:0.5,ABSArcane:0.5,ABSFire:0.5,ABSIce:0.5,ABSNature:0.5,ABSLightning:0.5,ABSCorruption:0.5,ABSAcid:0.5"
ArmorFortify,,,,,,,"PhysicalArmor:2.0,ElementalArmor:2.0"
Weaken,,,,,,,"DMGStandard:0.5,DMGSiege:0.5,DMGStrike:0.5,DMGSlash:0.5,DMGThrust:0.5,DMGArcane:0.5,DMGFire:0.5,DMGIce:0.5,DMGNature:0.5,DMGLightning:0.5,DMGCorruption:0.5,DMGAcid:0.5"
Empower,,,,,,,"DMGStandard:1.5,DMGSiege:1.5,DMGStrike:1.5,DMGSlash:1.5,DMGThrust:1.5,DMGArcane:1.5,DMGFire:1.5,DMGIce:1.5,DMGNature:1.5,DMGLightning:1.5,DMGCorruption:1.5,DMGAcid:1.5"
Disease,,,,,,,"HealMod:-0.5,NonConsumableHealMod:-0.5,ConsumableHealMod:-0.5,DmgPctToHealthHealMod:-0.5"
Haste,,,0,0,0,0,"MoveSpeedMod:0.5,SprintSpeedMod:0.5"
AI_Neutral,,,0,0,0,0,
NonDispellableDebuff,,,0,0,0,0,
NonDispellableBuff,,,0,0,0,0,
BossDebuff,,,,0,,,
MutatorEmpower,,,,,,,"DMGStandard:5.0,DMGSiege:5.0,DMGStrike:5.0,DMGSlash:5.0,DMGThrust:5.0,DMGArcane:5.0,DMGFire:5.0,DMGIce:5.0,DMGNature:5.0,DMGLightning:5.0,DMGCorruption:5.0,DMGAcid:5.0"
MutatorHearty,,,0,0,0,0,MaxHealth:5.0
MutatorDisease,,,,,,,"HealMod:-1.0,NonConsumableHealMod:-1.0,ConsumableHealMod:-1.0,DmgPctToHealthHealMod:-1.0"
MutatorCurse,,,,0,0,0,
Anointed,,,,,,,"HealMod:1.0,NonConsumableHealMod:1.0,ConsumableHealMod:1.0,DmgPctToHealthHealMod:1.0"
UnclampedSlow,,,,,,,"MoveSpeedMod:-1,SprintSpeedMod:-1"
UnclampedRend,,,,,,,"ABSStandard:-1.0,ABSSiege:-1.0,ABSStrike:-1.0,ABSSlash:-1.0,ABSThrust:-1.0,ABSArcane:-1.0,ABSFire:-1.0,ABSIce:-1.0,ABSNature:-1.0,ABSLightning:-1.0,ABSCorruption:-1.0,ABSAcid:-1.0"
