StatusID,DisplayName,Description,Notes,EffectCategories,PlaceholderIcon,ShowInUITray,ShowInTokenTray,ShowInStatusWindow,ShowTextInDamageNumbers,ShowTextInRemoteDamageNumbers,FxScriptOn,FxScriptOff,ShouldRefreshFxScript,IgnoreFxScriptWhenPotencyIsZero,WindowHeader,RankSorting,WeaponEffectType,ReapplyAfterPersistenceReload,PersistEffectInCrossWorldInstances,Notification,DisableTelemetry,IsClientPredicted,IsServerOnly,ForceServerOnly,UseLightweightReplication,AlwaysReplicate,ForceReplicateToRemotes,PauseInGameModesList,PauseOnDisable,PotencyPerLevel,PotencyPerGearScore,DurationScalingPerGearScore,HideHudDurationNumbers,BaseDuration,DurationMax,TickRate,DelayInitialTick,TickCondition,OnTickStatusEffect,KeepOnTickEffectOnEnd,StopOnHitCount,HitCondition,RequireReaction,OnStackStatusEffect,AddOnStackSize,AddOnStackSizeComparison,HealThreatMultiplier,ScaleAmountOverTime,ScaleAmountOverTimeMin,ScaleAmountOverTimeMax,IsTrueDamage,DamageSkipsDeathsDoor,Health,HealthMin,HealthMinPercent,HealthModifierPercent,HealthModifierBasePercent,HealthModifierDamageBased,ModDmgBasedMultValue_ForTooltip,UseHealScalingValue,HealScalingValueMultiplier,ShowUiDamageNumbersOnHeal,StaminaDamageModifier,ManaModifierDamageBased,DamageType,CritChanceModifier,CritDamageModifier,OnEndStatusEffect,DontApplyOnEndEffectOnRemove,DontApplyOnEndEffectOnTimeOutDeath,OnDeathStatusEffect,CastSpell,TargetOwnsSpell,DisableCastSpellDurability,UseSourceWeaponForSpell,AlwaysCastSpellToDefaultTargets,FromAlchemy,FromSpell,NoHealthRegen,HealMod,ConsumableHealMod,NonConsumableHealMod,DmgPctToHealthHealMod,MaxHealthMod,HealthRate,CoreTempMod,TempMod,Stamina,StaminaRate,MaxStaminaMod,MountStaminaRate,MountStaminaDrainRate,Mana,ManaRate,Food,FoodBurn,Drink,DrinkBurn,Encumbrance,ItemClassWeightMods,XPIncreases,XPIncreasesTooltip,AzothMod,FactionReputationMod,FactionTokensMod,TerritoryStandingMod,EXPCategoricalProgression,EXPMining,EXPLogging,EXPHarvesting,EXPSkinning,EXPSmelting,EXPWoodworking,EXPLeatherworking,EXPWeaving,EXPStonecutting,EXPFishing,GameEventTypeTradeskillEXPMod,GrantSanctuary,NoSprint,NoRun,NoDodge,NoNav,Silenced,Stunned,RemoveOnDeath,RemoveOnDeathsDoor,RemoveOnRespawn,RemoveOnGameModeExit,RemoveOnDeathsDoorRevive,RemoveWhenEnteringGameModeRequiringTeleport,IgnoreDiminishingReturns,OnlyChangeOwnedStatusEffects,Afflictions,OnHitAffixes,EquipAbility,UseSourceWeaponForAbilityEffect,SlotToFillWeaponDamageInfo,IsNegative,RespecTradeskills,RespecAttributes,EffectDurationMods,EffectDurationMods_Tooltip,EffectPotencyMods,RemoveEffectModsOnInactive,RemoveStatusEffects,RemoveStatusEffectCategories,GlobalRollMod,LootTags,FishingLineStrength,FishSizeRollModifier,AttributePlacingMods,MODConstitution,MODFocus,MODStrength,MODDexterity,MODIntelligence,MGSArcana,MGSWeaponsmithing,MGSJewelcrafting,MGSEngineering,MGSArmoring,MaxGSArcana,MaxGSWeaponsmithing,MaxGSJewelcrafting,MaxGSEngineering,MaxGSArmoring,ROLJewelcrafting,ROLCooking,ROLWeaving,ROLStonecutting,ROLSmelting,ROLLeatherworking,ROLWoodworking,ROLLogging,ROLMining,ROLSkinning,ROLHarvesting,ROLFishing,MULTLogging,MULTMining,MULTSkinning,MULTHarvesting,MULTFishing,EFFLogging,EFFMining,EFFSkinning,EFFHarvesting,INSLogging,INSMining,INSSkinning,INSHarvesting,PhysicalArmor,ElementalArmor,ABSStandard,ABSSiege,ABSStrike,ABSSlash,ABSThrust,ABSArcane,ABSFire,ABSIce,ABSNature,ABSLightning,ABSCorruption,ABSAcid,ABSVitalsCategory,RESPoison,RESDisease,RESBleed,RESFrostbite,RESCurse,RESBlight,RESSpores,BLAStandard,BLASiege,BLAStrike,BLASlash,BLAThrust,BLAArcane,BLAFire,BLAIce,BLALightning,BLACorruption,ABAPoison,ABADisease,ABABleed,ABAFrostbite,ABACurse,ABABlight,WKNStandard,WKNSiege,WKNStrike,WKNSlash,WKNThrust,WKNArcane,WKNFire,WKNIce,WKNNature,WKNLightning,WKNCorruption,DMGStandard,DMGSiege,DMGStrike,DMGSlash,DMGThrust,DMGArcane,DMGFire,DMGIce,DMGNature,DMGLightning,DMGCorruption,DMGAcid,DMGVitalsCategory,DMGVitalsCategory_Tooltip,AFAPoison,AFADisease,AFABleed,AFAFrostbite,AFACurse,AFABlight,AFASpores,AFAErosion,AFAStunned,StackDuration,InheritDuration,InheritTotalDuration,RefreshDuration,StackMax,InitialStackSize,RemoveUnappliedStacks,PotencyMax,DontReplaceStack,MoveSpeedMod,SprintSpeedMod,FastTravelEncumbranceMod,GameEventId,HealRewardGameEventId,HealRewardThreshold,WeaponMasteryCategoryId,UIPriority,UiNameplatePriority,ShowInNameplates,ShowTextInNameplates,OverrideOtherNameplateText,HidesOtherStatusEffectIcons,DynamicModelScaleFactor,DynamicModelScaleRampTimeSecs,SpawnSlice,DisableSupportContributionRewards,BlockMultipleEffectsFromSameSource,AllowSelfOnlyAsSourceForAbilities,IgnoreInvulnerable,NotCombatAction,ItemLootVolumeMods,ApplicationCooldown,ApplicationCooldownAppliedOnRemoval,AntirequisiteEffectCategories,SourceRuneChargeOnApply,SourceRuneChargeOnTick,SourceRuneChargeOnHealthChangeOnly,LocTextTagForDeathRecap,ExpansionForDeathRecap,ObjectiveLocTextTagForDeathRecap,DismissMount,PreventMirrorBeams,LinkedBeamStackThreshold,LinkedBeamName,DamageSplitTaken,DamageSplitTakenBySource,SourceAttributeBasedDurationScalings,DurationAttbScalingMaxValue,SourceAttributeBasedPotencyScalings,PotencyAttbScalingMaxValue,CostumeChangeId,GrantedSkinId,MeshChangeCDF,DisableAllNonAttributePerks,DisableAllNonAttributePerksExceptionLabels,PreventPassiveAbilitiesOnEquip,TriggersTutorial,JumpModScalar,JumpModType,AllowAddIfDead,MountedOnly,RequiredWorldTags,DisablePauseOnPersist,ReviveSpeedModifier,BeingRevivedSpeedModifier,ReviveHealthGainedInPctOfMax,ReviveHealthGivenInPctOfMax,AoeSpellRadiusScaling,DamageThreatMultiplier,DiminishReturns
Hatchet_Berserk,@Hatchet_Berserk_DisplayName,@Hatchet_Berserk_Description,,Buff+Hatchet_Berserk,lyshineui/images/status/SE_Hatchet_BerserkT1.png,true,,,true,,Hatchet_Berserk,,,,,,,,,,,,,,,true,,,,,,,,5,12,1,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,0,0,false,,1,,true,,,,,,,,,,1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatchet_Berserk_SpeedUp,@Status_Haste,@Status_Haste_Description,,Buff+Haste,lyshineui/images/status/SE_Haste.png,true,,,false,,StatFX_Haste_ON,,,,,,,,,,,,,,,true,,,,,,,,12,15,1,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,true,,,0.13,0.13,,,,,,3,3,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatchet_Berserk_DurationCounterForHP,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,12,15,1,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,Hatchet_Berserk_HP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatchet_Berserk_HP,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,0.1,15,1,,,,,,,,,,,,,,,,,0,,,0.3,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,true,,,,,,,,,,3,3,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatchet_Berserk_Escalading_Health,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,12,15,4,true,,,,,,,,,,,1,,2,,,0,,,0.05,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,false,1,,,,,,,,,3,3,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatchet_Berserk_LifeSteal,,,,,,,,,false,,,,,,,,,,,,,,,,true,true,,,,,,,,12,15,1,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,false,1,,,,,,,,,3,3,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatchet_Berserk_CCPurge,,,,Cleanse,,,,,false,,,,,,,,,,,,,true,,,true,true,,,,,,,,0.5,15,1,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,CC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,1,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatchet_Berserk_Uninterruptible,@Status_Berserk_Uninterruptible,@Status_Berserk_Uninterruptible_Description,,Buff+Uninterruptible+Grit,lyshineui/images/status/SE_berserk.png,true,,,true,,StatFX_Uninterruptible_ON,,,,,,,,,,,,,,,true,,,,,,,,12,15,1,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,true,,,,,,,,,,1,1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatchet_Pass_Fortify3Atk,@Status_Fortify,@Hatchet_3AtkFortify_Description,,Buff+ArmorFortify,lyshineui/images/status/SE_FortifyT2.png,true,,,false,,StatFX_Fortify_ON,,,,,,,,,,,,,,,,,,,,,,,3,5,1,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,1,,true,,,,,,,,,,2,2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hatchet_Pass_DoTPurge,@Hatchet_FrenziedPurge_DisplayName,@Hatchet_FrenziedPurge_Description,,Buff+Cleanse,lyshineui/images/status/SE_Cleanse.png,true,,,true,,Hatchet_Purge,,,,,,,,,,,,,,,true,,,,,,,,0.1,15,1,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,Hatchet_Pass_DoTPurgeTimer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,Burn=-1.0+Bleed=-1.0+Poison=-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
