TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,CanPlacePvPCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,UnchartedIcon,EventId,RecommendedLevel
10201,@ui_poi_dunwood_castle_10201,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_DraculaCastle.png,,300,true,true,,,,,dunwood_castle_10201_discovered,dunwood_castle_10201_charted,dunwood_castle_10201,POI_State,castle_dracula,,false,false,Castle Dracula,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_Chapel.png,,,,,
10202,@ui_poi_upyr_archives_10202,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_GothicCastle_Elite.png,,300,true,true,,,,,upyr_archives_10202_discovered,upyr_archives_10202_charted,"upyr_archives_10202,elite",POI_State,wolf_den,,false,false,Arhiva Viselor,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_GothicCastle.png,,3,,,70
10203,@ui_poi_catacomb_10203,,,,true,LyShineUI\Images\Map\Icon\POIs\catacombs_generic.png,,300,true,true,,,,,catacomb_10203_discovered,catacomb_10203_charted,catacomb_10203,POI_State,bitu_vesnic,,false,false,Bitu Vesnic,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_Underworld.png,,,,,
10204,@ui_poi_confused_village_10204,,,,true,LyShineUI\Images\Map\Icon\township.png,,300,true,true,,,,,confused_village_10204_discovered,confused_village_10204_charted,confused_village_10204,POI_State,grivaros,,false,false,Grivaros,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_township10.png,,,,,
10205,@ui_poi_upyr_castle_10205,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_GothicCastle.png,,1000,true,true,,,,,upyr_castle_10205_discovered,upyr_castle_10205_charted,upyr_castle_10205,POI_State,wolf_den,,false,false,House of Varlaam,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_GothicCastle.png,,,,,
10206,@ui_poi_belltower_10206,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_ClockTower.png,,2000,false,true,2,,,,,,belltower_10206,POI_State,wolf_den,,false,false,Tower of Time,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_clocktower.png,,,,,
10207,@ui_poi_bridge_10207,,,,true,,,300,true,true,,,,,bridge_10207_discovered,bridge_10207_charted,bridge_10207,POI_State,ancient_ruins,,false,false,,,,,,,,,,
10208,@ui_poi_bridge_10208,,,,true,,,300,true,true,,,,,bridge_10208_discovered,bridge_10208_charted,bridge_10208,POI_State,ancient_ruins,,false,false,,,,,,,,,,
10209,@ui_poi_bridge_10209,,,,true,,,300,true,true,,,,,bridge_10209_discovered,bridge_10209_charted,bridge_10209,POI_State,ancient_ruins,,false,false,,,,,,,,,,
10210,@ui_poi_bridge_10210,,,,true,,,300,true,true,,,,,bridge_10210_discovered,bridge_10210_charted,bridge_10210,POI_State,ancient_ruins,,false,false,,,,,,,,,,
10211,@ui_poi_bridge_10211,,,,true,,,300,true,true,,,,,bridge_10211_discovered,bridge_10211_charted,bridge_10211,POI_State,ancient_ruins,,false,false,,,,,,,,,,
10212,@ui_poi_gatehouse_10212,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_DraculaCastle.png,,300,true,true,,,,,gatehouse_10212_discovered,gatehouse_10212_charted,gatehouse_10212,POI_State,ancient_ruins,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_CapitalCity.png,,,,,
10213,@ui_poi_gatehouse_10213,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_DraculaCastle.png,,300,true,true,,,,,gatehouse_10213_discovered,gatehouse_10213_charted,gatehouse_10213,POI_State,ancient_ruins,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_Underworld.png,,,,,
10214,@ui_poi_gatehouse_10214,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_DraculaCastle.png,,300,true,true,,,,,gatehouse_10214_discovered,gatehouse_10214_charted,gatehouse_10214,POI_State,ancient_ruins,,false,false,,,,,,,,,,
10215,@ui_poi_gatehouse_10215,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_GothicCastle_Elite.png,,300,true,true,,,,,gatehouse_10215_discovered,gatehouse_10215_charted,gatehouse_10215,POI_State,ancient_ruins,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_GothicCastle.png,,3,,,70
10218,@ui_poi_upyr_castle_10218,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_GothicCastle.png,,300,true,true,,,,,upyr_castle_10218_discovered,upyr_castle_10218_charted,upyr_castle_10218,POI_State,ancient_ruins,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_GothicCastle.png,,,,,
10219,@ui_poi_upyr_castle_10219,,,,true,LyShineUI\Images\Map\Icon\POIs\POI_GothicCastle.png,,300,true,true,,,,,upyr_castle_10219_discovered,upyr_castle_10219_charted,upyr_castle_10219,POI_State,ancient_ruins,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_GothicCastle.png,,,,,
10220,@ui_poi_upyr_castle_10220,,,,true,LyShineUI\Images\Map\Icon\POIs\cathedral.png,,300,true,true,,,,,upyr_castle_10220_discovered,upyr_castle_10220_charted,upyr_castle_10220,POI_State,ancient_ruins,,false,false,,,,,LyShineUI/Images/Map/tooltipImages/POI/dunwood/mapTooltip_CursedWoods.png,,,,,
