TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,RecommendedLevel,UnchartedIcon,EventId
20401,@ui_poi_ancient_highway_20401,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_ancient_serpent.png,,375,true,true,,,,,ancient_highway_20401_discovered,ancient_highway_20401_charted,ancient_highway_20401,Music_POI,ancient_ruins,false,Road of Atum,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_anubianancient.png,,,,,
20402,@ui_poi_ancient_hero_temple_20402,,,,true,LyShineUI\Images\Map\Icon\POIs\ancient_malevolence_elite.png,,600,true,true,,,,"PyramidTemple,Ancient",ancient_hero_temple_20402_discovered,ancient_hero_temple_20402_charted,"ancient_hero_temple_20402,elite",Music_POI,ancient_ruins,false,Heliopolis,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_Elite_Heliopolis.png,,3,66,,
20403,@ui_poi_ancient_plaza_20403,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_ancient_serpent.png,,275,true,true,,,,,ancient_plaza_20403_discovered,ancient_plaza_20403_charted,ancient_plaza_20403,Music_POI,ancient_ruins,false,Plaza Heru,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_anubianancient.png,,,,,
20404,@ui_poi_ancient_walls_20404,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_ancient_serpent.png,,275,true,true,,,,,ancient_walls_20404_discovered,ancient_walls_20404_charted,ancient_walls_20404,Music_POI,ancient_ruins,false,Temple of Isis,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_anubianancient.png,,,,,
20405,@ui_poi_legion_highland_fort_20405,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_legion_hq.png,,275,true,true,,,,,legion_highland_fort_20405_discovered,legion_highland_fort_20405_charted,legion_highland_fort_20405,Music_POI,corrupted_fort,false,,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_legionfort.png,,,,,
20406,@ui_poi_legion_burial_site_20406,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_legion_hq.png,,275,true,true,,,,,legion_burial_site_20406_discovered,legion_burial_site_20406_charted,legion_burial_site_20406,Music_POI,corrupted_fort,false,,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_legionfort.png,,,,,
20407,@ui_poi_legion_courier_camp_20407,,,,true,LyShineUI/Images/Map/Icon/POIs/campsite.png,,275,true,true,,,,,legion_courier_camp_20407_discovered,legion_courier_camp_20407_charted,legion_courier_camp_20407,Music_POI,corrupted_fort,false,Castellum Trismegistus,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_governorsdesk.png,,,,,
20408,@ui_poi_questgiver_20408,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_temple_sm.png,,60,true,true,,,,,questgiver_20408_discovered,questgiver_20408_charted,questgiver_20408,Music_POI,camp,false,,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_generic_b.png,,,,,
20409,@ui_poi_questgiver_20409,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_campsite.png,,60,true,true,,,,,questgiver_20409_discovered,questgiver_20409_charted,questgiver_20409,Music_POI,camp,false,,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_station_cooking.png,,,,,
20410,@ui_poi_ancient_archives_20410,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_ancient_gate.png,,275,true,true,,,,,ancient_archives_20410_discovered,ancient_archives_20410_charted,ancient_archives_20410,Music_POI,ancient_ruins,false,,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_gate.png,,,,,
20411,@ui_poi_ancient_digsite_20411,,,,true,LyShineUI\Images\Map\Icon\POIs\angryearth_camp.png,,275,true,true,,,,,ancient_digsite_20411_discovered,ancient_digsite_20411_charted,ancient_digsite_20411,Music_POI,camp,false,,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_ruins.png,,,,,
20412,@ui_poi_ancient_stairs_20412,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_temple_sm.png,,375,true,true,,,,,ancient_stairs_20412_discovered,ancient_stairs_20412_charted,ancient_stairs_20412,Music_POI,ancient_ruins,false,Stairs of Usir,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_generic_b.png,,,,,
20413,@ui_poi_dungeon_ennead_20413,,,,true,LyShineUI\Images\Map\Icon\POIs\expedition_ennead.png,,600,true,true,,,,,dungeon_ennead_20413_discovered,dungeon_ennead_20413_charted,dungeon_ennead,Music_POI,ancient_ruins,false,The Ennead,,,,lyShineui/images/map/tooltipimages/mapTooltip_DungeonBrimstoneSands00.dds,DungeonBrimstoneSands00,,,,
20415,@ui_poi_serpent_pass_20415,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_ancient_serpent.png,,275,true,true,,,,Sutekh,serpent_pass_20415_discovered,serpent_pass_20415_charted,serpent_pass_20415,Music_POI,ancient_ruins,false,Serpent's Pass,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_anubianancient.png,,,,,
20416,@ui_poi_place_of_pillars_20416,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_roman_temple.png,,275,true,true,,,,,place_of_pillars_20416_discovered,place_of_pillars_20416_charted,place_of_pillars_20416,Music_POI,ancient_ruins,false,Place of Pillars,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_brimstone_POI_pillars.png,,,,,
