TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,IsCollapsible,RecommendedLevel,UnchartedIcon,EventId
30301,@ui_poi_beastencounter_30301,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_buttress.png,,375,true,true,,,,"MangledHeightsWest,Corrupted",beastencounter_30301_discovered,beastencounter_30301_charted,beastencounter,POI_State,beastencounter,,false,Balebane Maw,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_Elite_BalebaneMaw.png,,3,,,,
30302,@ui_poi_dynasty_shrine_30302,,,,true,LyShineUI\Images\Map\Icon\POIs\Shrine_Air.png,,150,true,true,,,,,dynasty_shrine_30302_discovered,dynasty_shrine_30302_charted,dynasty_shrine_30302,POI_State,abandoned_village,AbandonedMine,false,Air Shrine,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_iceBoss.png,,,,,,
30303,@ui_poi_ancient_citadel_30303,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_citadel.png,,375,true,true,,,,,ancient_citadel_30303_discovered,ancient_citadel_30303_charted,ancient_citadel_30303,POI_State,ancient_ruins,,false,Timeworn Acropolis,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_acropolis.png,,,,,,
30304,@ui_poi_bazaar_30304,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_roman_temple.png,,275,true,true,,,,GreatBazaar,bazaar_30304_discovered,bazaar_30304_charted,bazaar_30304,POI_State,abandoned_village,AbandonedMine,false,Great Bazaar,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_brimstone_POI_dunephantom.png,,,,,,
30305,@ui_poi_scorpionnest_30305,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_ancient_gate_elite.png,,375,true,true,,,,"ScorpionNest,AngryEarth,EPOI",scorpionnest_30305_discovered,scorpionnest_30305_charted,"scorpionnest_30305,elite",POI_State,cave,TropicalCave,false,Beds of Ta-Bitjet,,,,LyShineUI/Images/Map/tooltipImages/POI/mapTooltip_Elite_BedsOfTaBitjet.png,,3,,63,,
30306,@ui_poi_crassusrise_30306,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_legion_hq.png,,400,true,true,,,,,crassusrise_30306_discovered,crassusrise_30306_charted,crassusrise_30306,POI_State,corrupted_fort,,false,Crassus's Rise,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_crassus.png,,,,,,
30307,@ui_poi_lostvillage_30307,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_roman_temple.png,,275,true,true,,,,Carthago,lostvillage_30307_discovered,lostvillage_30307_charted,lostvillage_30307,POI_State,abandoned_village,AbandonedMine,false,Carthago,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_brimstone_POI_dunephantom.png,,,,,,
30308,@ui_poi_desiccatedtown_30308,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_roman_temple.png,,275,true,true,,,,Rhacotis,desiccatedtown_30308_discovered,desiccatedtown_30308_charted,desiccatedtown_30308,POI_State,abandoned_village,AbandonedMine,false,New Alexandria,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_brimstone_POI_dunephantom.png,,,,,,
30309,@ui_poi_banditvillage_30309,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_roman_temple.png,,275,true,true,,,,Neapolis,banditvillage_30309_discovered,banditvillage_30309_charted,banditvillage_30309,POI_State,abandoned_village,AbandonedMine,false,Neapolis,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_brimstone_POI_dunephantom.png,,,,,,
30310,@ui_poi_phantomtree_30310,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_roman_temple.png,,300,true,true,,,,JupiterGroves,phantomtree_30310_discovered,phantomtree_30310_charted,phantomtree_30310,POI_State,azure_tree,,false,Jupiter's Grove,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_brimstone_POI_dunephantom.png,,,,,,
30311,@ui_poi_questgiver_30311,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_campsite.png,,60,true,true,,,,,questgiver_30311_discovered,questgiver_30311_charted,questgiver_30311,POI_State,camp,,false,,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_generic.png,,,,,,
30312,@ui_poi_dynasty_shrine_30312,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_temple_sm.png,,250,true,true,,,,,dynasty_shrine_30312_discovered,dynasty_shrine_30312_charted,dynasty_shrine_30312,POI_State,abandoned_village,AbandonedMine,false,,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_fortress13.png,,,,,,
30314,@ui_poi_spiritshrine_02_30314,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_02_30314_charted,"spiritshrine_02_30314,fasttravel",POI_State,watchtower,,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_spiritshrine.png,,,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,
30315,@ui_poi_questgiver_30315,,,,true,LyShineUI/Images/Map/Icon/POIs/angryearth_camp.png,,60,true,true,,,,,questgiver_30315_discovered,questgiver_30315_charted,questgiver_30315,POI_State,camp,,false,,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_generic.png,,,,,,
30316,@ui_poi_ancient_ruins_sm_30316,,,,true,LyShineUI\Images\Map\Icon\POIs\ancient_ruins.png,,150,true,true,,,,,ancient_ruins_sm_30316_discovered,ancient_ruins_sm_30316_charted,ancient_ruins_sm_30316,POI_State,ancient_tower,,false,Henkhisesui,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_generic_b.png,,,,,,
30317,@ui_poi_ancient_ruins_lg_30317,,,,true,LyShineUI\Images\Map\Icon\POIs\ancient_temple_lg.png,,300,true,true,,,,,ancient_ruins_lg_30317_discovered,ancient_ruins_lg_30317_charted,ancient_ruins_lg_30317,POI_State,ancient_ruins,,false,Temple of Shu,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_generic_b.png,,,,,,
30318,@ui_poi_shipwreck_30318,,,,true,LyShineUI\Images\Map\Icon\POIs\shipwreck.png,,275,true,true,,,,,shipwreck_30318_discovered,shipwreck_30318_charted,shipwreck_30318,POI_State,shipwreck,Shipwreck,false,The Offering,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_poi_shipwreck.png,,,,,,
30319,@ui_poi_beast_den_30319,,,,true,LyShineUI\Images\Map\Icon\POIs\cat_den.png,,275,true,true,,,,,beast_den_30319_discovered,beast_den_30319_charted,beast_den_30319,POI_State,wolf_den,,false,Cat Den,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_poi_cat_den.png,,,,,,
30320,@ui_poi_beast_den_30320,,,,true,LyShineUI\Images\Map\Icon\POIs\scorpion.png,,275,true,true,,,,,beast_den_30320_discovered,beast_den_30320_charted,beast_den_30320,POI_State,cave,TropicalCave,false,Scorpion Den,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_brimstone_POI_scorpion_a.png,,,,,,
30321,@ui_poi_beast_den_30321,,,,true,LyShineUI\Images\Map\Icon\POIs\wolf_den.png,,275,true,true,,,,,beast_den_30321_discovered,beast_den_30321_charted,beast_den_30321,POI_State,wolf_den,,false,Jackal Den,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_generic.png,,,,,,
