TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,RecommendedLevel,UnchartedIcon,GroupSize,EventId
30401,@ui_poi_aqueduct_30401,,,,true,LyShineUI\Images\Map\Icon\POIs\desert_oasis.png,,600,true,true,,,,,aqueduct_30401_discovered,aqueduct_30401_charted,aqueduct_30401,POI_State,crater_spriggan,,false,Oasis Spontanea,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_oasis.png,,,,,
30402,@ui_poi_lionrock_30402,,,,true,LyShineUI\Images\Map\Icon\POIs\Ore.png,,220,true,true,,,,,lionrock_30402_discovered,lionrock_30402_charted,lionrock_30402,POI_State,wolf_den,,false,Anhur's Pride,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_poi_cat_den.png,,,,,
30403,@ui_poi_akhet_gates_30403,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_ancient_gate.png,,275,true,true,,,,Hermopolis,akhet_gates_30403_discovered,akhet_gates_30403_charted,akhet_gates_30403,POI_State,ancient_ruins,,false,City of Akhet,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_gate.png,,,,,
30404,@ui_poi_east_gate_30404,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_ancient_serpent.png,,275,true,true,,,,SerpentsPass,east_gate_30404_discovered,east_gate_30404_charted,east_gate_30404,POI_State,ancient_ruins,,false,Gates of Set,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_anubianancient.png,,,,,
30405,@ui_poi_questgiver_30405,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_campsite.png,,60,true,true,,,,,questgiver_30405_discovered,questgiver_30405_charted,questgiver_30405,POI_State,camp,,false,,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_station_cooking.png,,,,,
30406,@ui_poi_beast_den_30406,,,,true,LyShineUI\Images\Map\Icon\POIs\ancient_ruins.png,,100,true,true,,,,,beast_den_30406_discovered,beast_den_30406_charted,beast_den_30406,POI_State,wolf_den,,false,Seret,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_generic_b.png,,,,,
30407,@ui_poi_corsica_statue_30407,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_colossus.png,,1500,false,true,1,,,,,corsica_statue_30407_charted,corsica_statue_30407,POI_State,,,false,Glory of the Empire,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_settlement_statue.png,,0,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_colossus.png,,
30408,@ui_poi_ancient_ruins_sm_30408,,,,true,LyShineUI\Images\Map\Icon\POIs\ancient_temple_sm.png,,120,true,true,,,,,ancient_ruins_sm_30408_discovered,ancient_ruins_sm_30408_charted,ancient_ruins_sm_30408,POI_State,ancient_tower,,false,Anuket,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_generic_b.png,,,,,
30409,@ui_poi_ancient_ruins_sm_30409,,,,true,LyShineUI\Images\Map\Icon\POIs\ancient_temple_sm.png,,100,true,true,,,,,ancient_ruins_sm_30409_discovered,ancient_ruins_sm_30409_charted,ancient_ruins_sm_30409,POI_State,ancient_tower,,false,Min,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_generic_b.png,,,,,
30410,@ui_poi_ancient_ruins_sm_30410,,,,true,LyShineUI\Images\Map\Icon\POIs\ancient_temple_sm.png,,100,true,true,,,,,ancient_ruins_sm_30410_discovered,ancient_ruins_sm_30410_charted,ancient_ruins_sm_30410,POI_State,ancient_tower,,false,Esna,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_generic_b.png,,,,,
30411,@ui_poi_ancient_ruins_sm_30411,,,,true,LyShineUI\Images\Map\Icon\POIs\ancient_temple_sm.png,,275,true,true,,,,,ancient_ruins_sm_30411_discovered,ancient_ruins_sm_30411_charted,ancient_ruins_sm_30411,POI_State,ancient_tower,,false,Qebui,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_generic_b.png,,,,,
30416,@ui_poi_beast_den_30416,,,,true,LyShineUI\Images\Map\Icon\POIs\scorpion_elite.png,,275,true,true,,,,"ScorpionLair,AngryEarth",beast_den_30416_discovered,beast_den_30416_charted,"beast_den_30416,elite",POI_State,cave,TropicalCave,false,Lair of Scorpius,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_Elite_OrdealOfTheScorpion.png,,66,,3,
30419,@ui_poi_spiritshrine_30419,,,,true,LyShineUI/Images/Map/Icon/POIs/spirit_shrine_bg.dds,LyShineUI\Images\Map\Icon\POIs\spirit_shrine_charted.dds,150,false,true,1,,,,,spiritshrine_30419_charted,"spiritshrine_30419,fasttravel",POI_State,watchtower,,false,Spirit Shrine,,,,LyShineUI/Images/Map/tooltipImages/POI/brimstone_sands/mapTooltip_spiritshrine_desert.png,,,LyShineUI/Images/Map/Icon/POIs/spirit_shrine.png,,
30420,@ui_poi_ancientruins_cliff_30420,,,,true,LyShineUI\Images\Map\Icon\POIs\brimstone\brimstone_ancient_gate.png,,400,true,true,,,,,ancientruins_cliff_30420_discovered,ancientruins_cliff_30420_charted,ancientruins_cliff_30420,POI_State,ancient_tower,,false,Nekhbet,,,,LyShineUI\Images\Map\tooltipImages\POI\brimstone_sands\mapTooltip_brimstone_POI_desert_gate.png,,,,,
30421,@ui_poi_fish_hotspot_broad,,,,true,LyShineUI/Images/Map/Icon/POIs/fish_hotspot1.png,,60,false,true,,,,,,fish_hotspot_30421_charted,FishingHotspot,POI_State,camp,,false,Fishing Hotspot,,,,/LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_fish_1.png,,,,,
