TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,IsCollapsible,UnchartedIcon,EventId
60201,@ui_poi_ruins_60201,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,150,true,true,,,,,ruins_60201_discovered,ruins_60201_charted,ruins,POI_State,ruins,,false,@ui_poi_azure_fissure_60201,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60202,@ui_poi_shrine_60202,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_temple_sm.png,,150,true,true,,,,,shrine_60202_discovered,shrine_60202_charted,shrine,POI_State,shrine,,false,@ui_poi_azure_fissure_60202,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60203,@ui_poi_cutthroatcavern_60203,,,,true,LyShineUI/Images/Map/Icon/POIs/Cave.png,,150,true,true,,,,,cutthroatcavern_60203_discovered,cutthroatcavern_60203_charted,cutthroatcavern,POI_State,cutthroatcavern,,false,@ui_poi_azure_fissure_60203,,,,,,,,,
60204,@ui_poi_archlightcave_60204,,,,true,LyShineUI/Images/Map/Icon/POIs/Cave.png,,150,true,true,,,,bunnyisland_tag,archlightcave_60204_discovered,archlightcave_60204_charted,archlightcave,POI_State,archlightcave,,false,@ui_poi_azure_fissure_60204,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_poi_graveyard.png,,,,,
60205,@ui_poi_bunnyisland_60205,,,,true,LyShineUI/Images/Map/Icon/NPCs/Hare_Compass.png,,150,true,true,,,,bunnyisland_tag,bunnyisland_60205_discovered,bunnyisland_60205_charted,bunnyisland,POI_State,bunnyisland,,false,@ui_poi_azure_fissure_60205,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_poi_rabbit_island.png,,,,,
60206,@ui_poi_ancient_lighthouse_60206,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_lighthouse_elite.png,,2000,true,true,,,,"ConsoBluffs,AngryEarth,EPOI",ancient_lighthouse_60206_discovered,ancient_lighthouse_60206_charted,"ancient_lighthouse,elite",POI_State,ancient_lighthouse,,false,@ui_poi_ancient_lighthouse_60206,,,,LyShineUI\Images\Map\tooltipImages\POI\mapTooltip_Elite_Eridanus.png,,3,,,
60207,@ui_poi_ancient_lighthouse_60207,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_lighthouse.png,,150,true,true,,,,,ancient_lighthouse_60207_discovered,ancient_lighthouse_60207_charted,ancient_lighthouse_60207,POI_State,ancient_lighthouse_60207,,false,@ui_poi_ancient_lighthouse_60207,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60208,@ui_poi_shipwreck_60208,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,150,true,true,,,,,shipwreck_60208_discovered,shipwreck_60208_charted,shipwreck,POI_State,shipwreck,Shipwreck,false,@ui_poi_shipwreck_60208,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,
60209,@ui_poi_bear_den_60209,,,,true,LyShineUI/Images/Map/Icon/POIs/bear_den.png,,150,true,true,,,,,bear_den_60209_discovered,bear_den_60209_charted,bear_den,POI_State,bear_den,,false,@ui_poi_bear_den_60209,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_bearden.png,,,,,
60210,@ui_poi_animalden_60210,,,,true,LyShineUI/Images/Map/Icon/POIs/wolf_den.png,,150,true,true,,,,,animalden_60210_discovered,animalden_60210_charted,animalden,POI_State,animalden,,false,@ui_poi_outpost_62_1_60210,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_wolfDen.png,,,,,
60211,@ui_poi_ravagedwreck_60211,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,150,true,true,,,,bunnyisland_tag,ravagedwreck_60211_discovered,ravagedwreck_60211_charted,ravagedwreck,POI_State,ravagedwreck,,false,@ui_poi_outpost_62_1_60211,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,
60212,@ui_poi_festeringflotsam_60212,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,150,true,true,,,,,festeringflotsam_60212_discovered,festeringflotsam_60212_charted,festeringflotsam,POI_State,festeringflotsam,,false,@ui_poi_outpost_62_1_60212,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,
60213,@ui_poi_decayedcamp_60213,,,,true,LyShineUI/Images/Map/Icon/POIs/angryearth_camp.png,,150,true,true,,,,,decayedcamp_60213_discovered,decayedcamp_60213_charted,decayedcamp,POI_State,decayedcamp,,false,@ui_poi_outpost_62_1_60213,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_station_cooking.png,,,,,
60214,@ui_poi_eastshorepier_60214,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_fishing_village.png,,150,true,true,,,,,eastshorepier_60214_discovered,eastshorepier_60214_charted,eastshorepier,POI_State,eastshorepier,,false,@ui_poi_outpost_62_1_60214,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_poi_fish_1.png,,,,,
60215,@ui_poi_bombasticwreckage_60215,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,150,true,true,,,,,bombasticwreckage_60215_discovered,bombasticwreckage_60215_charted,bombasticwreckage,POI_State,bombasticwreckage,,false,@ui_poi_outpost_62_1_60215,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,
60216,@ui_poi_solitudecemetery_60216,,,,true,LyShineUI/Images/Map/Icon/POIs/Graveyard.png,,150,true,true,,,,,solitudecemetery_60216_discovered,solitudecemetery_60216_charted,solitudecemetery,POI_State,solitudecemetery,,false,@ui_poi_outpost_62_1_60216,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_poi_graveyard.png,,,,,
60217,@ui_poi_blightedwreck_60217,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,150,true,true,,,,,blightedwreck_60217_discovered,blightedwreck_60217_charted,blightedwreck,POI_State,blightedwreck,,false,@ui_poi_outpost_62_1_60217,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,
60218,@ui_poi_googlywreck_60218,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,150,true,true,,,,,googlywreck_60218_discovered,googlywreck_60218_charted,googlywreck,POI_State,googlywreck,,false,@ui_poi_outpost_62_1_60218,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,
60219,@ui_poi_lookoutwest_60219,,,,true,LyShineUI\Images\Map\Icon\POIs\angryearth_village.png,,150,true,true,,,,,lookoutwest_60219_discovered,lookoutwest_60219_charted,lookoutwest,POI_State,lookoutwest,,false,@ui_poi_outpost_62_1_60219,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_outpost_default.png,,,,,
