TerritoryID,NameLocalizationKey,BaseStructureLimit,MaxStructureLimit,TerritoryScore,IsPOI,MapIcon,CompassIcon,DiscoveryRadius,IsDiscoverable,IsChartable,DefaultAchievement,OutpostId,Debug,LootTags,DiscoveredAchievement,ChartedAchievement,POITag,AudioGroup,AudioState,AudioBank,CanPlaceCamp,CanPlacePvPCamp,DevName,VitalsCategory,LevelRange,Containers,TooltipBackground,GameMode,GroupSize,IsCollapsible,UnchartedIcon,EventId
60301,@ui_poi_mine_haunted_whispering_60301,,,,true,LyShineUI/Images/Map/Icon/POIs/Mine.png,,100,true,true,,,,,mine_haunted_whispering_60301_discovered,mine_haunted_whispering_60301_charted,mine_haunted_whispering_60301,POI_State,mine,,false,false,@ui_poi_mine_haunted_whispering_60301,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_mine.png,,,,,
60302,@ui_poi_shipwreck_eastbayshipwreck_60302,,,,true,LyShineUI/Images/Map/Icon/POIs/Shipwreck.png,,100,true,true,,,,,shipwreck_eastbayshipwreck_60302_discovered,shipwreck_eastbayshipwreck_60302_charted,shipwreck_eastbayshipwreck_60302,POI_State,shipwreck,Shipwreck,false,false,@ui_poi_shipwreck_eastbayshipwreck_60302,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_poi_shipwreck.png,,,,,
60303,@ui_poi_abandoned_homestead_highpoint_60303,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,150,true,true,,,,,abandoned_homestead_highpoint_60303_discovered,abandoned_homestead_highpoint_60303_charted,abandoned_homestead_highpoint_60303,POI_State,abandoned_village,AbandonedMine,false,false,@ui_poi_abandoned_homestead_highpoint_60303,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_house_default.png,,,,,
60304,@ui_poi_homestead_waterrun_60304,,,,true,LyShineUI/Images/Map/Icon/POIs/abandoned_village.png,,150,true,true,,,,,homestead_waterrun_60304_discovered,homestead_waterrun_60304_charted,homestead_waterrun_60304,POI_State,,,false,false,@ui_poi_homestead_waterrun_60304,,,,LyShineUI\Images\Map\tooltipImages\mapTooltip_house_default.png,,,,,
60305,@ui_poi_ancient_lookout_seaside_60305,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_lookout.png,,225,true,true,,,,,ancient_lookout_seaside_60305_discovered,ancient_lookout_seaside_60305_charted,ancient_lookout_seaside_60305,POI_State,lookout,,false,false,@ui_poi_ancient_lookout_seaside_60305,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60306,@ui_poi_ancient_lookout_overgrowth_60306,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_lookout.png,,200,true,true,,,,,ancient_lookout_overgrowth_60306_discovered,ancient_lookout_overgrowth_60306_charted,ancient_lookout_overgrowth_60306,POI_State,lookout,,false,false,@ui_poi_ancient_lookout_overgrowth_60306,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60307,@ui_poi_ancient_lookout_forestsouth_60307,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_lookout.png,,200,true,true,,,,,ancient_lookout_forestsouth_60307_discovered,ancient_lookout_forestsouth_60307_charted,ancient_lookout_forestsouth_60307,POI_State,lookout,,false,false,@ui_poi_ancient_lookout_forestsouth_60307,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60308,@ui_poi_ancient_lookout_portside_60308,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_lookout.png,,200,true,true,,,,,ancient_lookout_portside_60308_discovered,ancient_lookout_portside_60308_charted,ancient_lookout_portside_60308,POI_State,lookout,,false,false,@ui_poi_ancient_lookout_portside_60308,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60309,@ui_poi_ancient_ruins_streamside_60309,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,150,true,true,,,,,ancient_ruins_streamside_60309_discovered,ancient_ruins_streamside_60309_charted,ancient_ruins_streamside_60309,POI_State,ancient_ruins,,false,false,@ui_poi_ancient_ruins_streamside_60309,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
60310,@ui_poi_ancient_ruins_forest_60310,,,,true,LyShineUI/Images/Map/Icon/POIs/ancient_ruins.png,,250,true,true,,,,,ancient_ruins_forest_60310_discovered,ancient_ruins_forest_60310_charted,ancient_ruins_forest_60310,POI_State,ancient_ruins,,false,false,@ui_poi_ancient_ruins_forest_60310,,,,LyShineUI/Images/Map/tooltipImages/mapTooltip_outpostRush_grove.png,,,,,
