ProjectId,Cost,Level,Icon,Title,ChatNotificationTitle,ButtonLabel,Image,CurrentTier,CraftingAzothDiscount,Description,TerritoryProgressionNeeded,CompletionTimeMinutes,PrevLevelProjectId,NextLevelProjectId,ProjectType,DisplayColumn,ProgressionCategory,ProgressionCategoryName,ProgressionLevel,LifestyleBuffEffectId,LifestyleBuffEffectDuration
BlacksmithProjectId,10000,1,LyShineUI\Images\Icons\Stations\forge.png,@ui_upgrade_title_BlacksmithProjectId,@ui_upgrade_titleNoMarkup_BlacksmithProjectId,@ui_upgrade_button_BlacksmithProjectId,LyShineUI\Images\icons\items\blueprint\BlacksmithT4.png,2,0.2,@ui_upgrade_desc_BlacksmithProjectId,900,1440,,BlacksmithProjectId2,Settlement,Settlement,Blacksmithing,@blacksmith_station,1,,
BlacksmithProjectId2,500000,2,LyShineUI\Images\Icons\Stations\forge.png,@ui_upgrade_title_BlacksmithProjectId2,@ui_upgrade_titleNoMarkup_BlacksmithProjectId2,@ui_upgrade_button_BlacksmithProjectId2,LyShineUI\Images\icons\items\blueprint\BlacksmithT4.png,3,0.3,@ui_upgrade_desc_BlacksmithProjectId2,1500,1440,BlacksmithProjectId,BlacksmithProjectId3,Settlement,Settlement,Blacksmithing,@blacksmith_station,2,,
BlacksmithProjectId3,1000000,3,LyShineUI\Images\Icons\Stations\forge.png,@ui_upgrade_title_BlacksmithProjectId3,@ui_upgrade_titleNoMarkup_BlacksmithProjectId3,@ui_upgrade_button_BlacksmithProjectId3,LyShineUI\Images\icons\items\blueprint\BlacksmithT4.png,4,0.45,@ui_upgrade_desc_BlacksmithProjectId3,3000,1440,BlacksmithProjectId2,,Settlement,Settlement,Blacksmithing,@blacksmith_station,3,,
SmeltingProjectId,10000,1,LyShineUI\Images\Icons\Stations\smelter.png,@ui_upgrade_title_SmeltingProjectId,@ui_upgrade_titleNoMarkup_SmeltingProjectId2,@ui_upgrade_button_SmeltingProjectId,LyShineUI\Images\icons\items\blueprint\SmeltingT3.png,3,0,@ui_upgrade_desc_SmeltingProjectId,900,1440,,SmeltingProjectId2,Settlement,Settlement,Smelting,@smelting_station,1,,
SmeltingProjectId2,500000,2,LyShineUI\Images\Icons\Stations\smelter.png,@ui_upgrade_title_SmeltingProjectId2,@ui_upgrade_titleNoMarkup_SmeltingProjectId3,@ui_upgrade_button_SmeltingProjectId2,LyShineUI\Images\icons\items\blueprint\SmeltingT3.png,4,0,@ui_upgrade_desc_SmeltingProjectId2,1500,1440,SmeltingProjectId,,Settlement,Settlement,Smelting,@smelting_station,2,,
CarpentryProjectId,10000,1,LyShineUI\Images\Icons\Stations\woodshop.png,@ui_upgrade_title_CarpentryProjectId,@ui_upgrade_titleNoMarkup_CarpentryProjectId2,@ui_upgrade_button_CarpentryProjectId,LyShineUI\Images\icons\items\blueprint\CarpentryT4.png,3,0,@ui_upgrade_desc_CarpentryProjectId,900,1440,,CarpentryProjectId2,Settlement,Settlement,Carpentry,@carpentry_station,1,,
CarpentryProjectId2,500000,2,LyShineUI\Images\Icons\Stations\woodshop.png,@ui_upgrade_title_CarpentryProjectId2,@ui_upgrade_titleNoMarkup_CarpentryProjectId3,@ui_upgrade_button_CarpentryProjectId2,LyShineUI\Images\icons\items\blueprint\CarpentryT4.png,4,0,@ui_upgrade_desc_CarpentryProjectId2,1500,1440,CarpentryProjectId,,Settlement,Settlement,Carpentry,@carpentry_station,2,,
MasonryProjectId,10000,1,LyShineUI\Images\Icons\Stations\mason.png,@ui_upgrade_title_MasonryProjectId,@ui_upgrade_titleNoMarkup_MasonryProjectId2,@ui_upgrade_button_MasonryProjectId,LyShineUI\Images\icons\items\blueprint\MasonryT3.png,3,0,@ui_upgrade_desc_MasonryProjectId,900,1440,,MasonryProjectId2,Settlement,Settlement,Masonry,@masonry_station,1,,
MasonryProjectId2,500000,2,LyShineUI\Images\Icons\Stations\mason.png,@ui_upgrade_title_MasonryProjectId2,@ui_upgrade_titleNoMarkup_MasonryProjectId3,@ui_upgrade_button_MasonryProjectId2,LyShineUI\Images\icons\items\blueprint\MasonryT3.png,4,0,@ui_upgrade_desc_MasonryProjectId2,1500,1440,MasonryProjectId,,Settlement,Settlement,Masonry,@masonry_station,2,,
WeavingProjectId,10000,1,LyShineUI\Images\Icons\Stations\loom.png,@ui_upgrade_title_WeavingProjectId,@ui_upgrade_titleNoMarkup_WeavingProjectId2,@ui_upgrade_button_WeavingProjectId,LyShineUI\Images\icons\items\blueprint\WeavingT3.png,3,0,@ui_upgrade_desc_WeavingProjectId,900,1440,,WeavingProjectId2,Settlement,Settlement,Weaving,@weaving_station,1,,
