Level,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,SpecializationPoint,SkillBonus,RecipeLevel,RollBonus,MinGearScoreBonus,MaxGearScoreBonus,MinGearScoreBonusT2,MaxGearScoreBonusT2,MinGearScoreBonusT3,MaxGearScoreBonusT3,MinGearScoreBonusT4,MaxGearScoreBonusT4,MinGearScoreBonusT5,MaxGearScoreBonusT5,ResourceTierUnlocks,EntitlementId,XpReward
0,,0,100,0,0,true,,,,0,0,0,0,0,5,0,0,0,0,0,0,5,,0
1,,0,105,100,0,true,,,,1,0,0,0,0,5,0,0,0,0,0,0,5,,10
2,,0,110,105,0,true,,,,2,0,0,0,0,5,0,0,0,0,0,0,5,,11
3,,0,115,110,0,true,,,,3,0,0,0,0,5,0,0,0,0,0,0,5,,12
4,,0,120,115,0,true,,,,4,0,0,0,0,5,0,0,0,0,0,0,5,,13
5,,0,125,120,0,true,,,,5,0,0,0,0,10,0,0,0,0,0,0,5,,14
6,,0,130,125,0,true,,,,6,0,0,0,0,10,0,0,0,0,0,0,5,,15
7,,0,135,130,0,true,,,,7,0,0,0,0,10,0,0,0,0,0,0,5,,16
8,,0,140,135,0,true,,,,8,0,0,0,0,10,0,0,0,0,0,0,5,,17
9,,0,145,140,0,true,,,,9,0,0,0,0,10,0,0,0,0,0,0,5,,18
10,,0,150,145,0,true,,,,10,0,0,0,0,15,0,0,0,0,0,0,5,,19
11,,0,155,150,0,true,,,,11,0,0,0,0,15,0,0,0,0,0,0,5,,20
12,,0,160,155,0,true,,,,12,0,0,0,0,15,0,0,0,0,0,0,5,,21
13,,0,165,160,0,true,,,,13,0,0,0,0,15,0,0,0,0,0,0,5,,22
14,,0,170,165,0,true,,,,14,0,0,0,0,15,0,0,0,0,0,0,5,,23
15,,0,175,170,0,true,,,,15,0,0,0,0,20,0,0,0,0,0,0,5,,24
16,,0,180,175,0,true,,,,16,0,0,0,0,20,0,0,0,0,0,0,5,,26
17,,0,185,180,0,true,,,,17,0,0,0,0,20,0,0,0,0,0,0,5,,28
18,,0,190,185,0,true,,,,18,0,0,0,0,20,0,0,0,0,0,0,5,,30
19,,0,195,190,0,true,,,,19,0,0,0,0,20,0,0,0,0,0,0,5,,32
20,,0,200,195,0,true,,,,20,0,0,0,0,25,0,0,0,0,0,0,5,,34
21,,0,205,200,0,true,,,,21,0,0,0,0,25,0,0,0,0,0,0,5,,36
22,,0,210,205,0,true,,,,22,0,0,0,0,25,0,0,0,0,0,0,5,,38
23,,0,215,210,0,true,,,,23,0,0,0,0,25,0,0,0,0,0,0,5,,40
24,,0,220,215,0,true,,,,24,0,0,0,0,25,0,0,0,0,0,0,5,,42
25,,0,225,220,0,true,,,,25,0,0,0,0,30,0,0,0,0,0,0,5,,44
26,,0,230,225,0,true,,,,26,0,0,0,0,30,0,0,0,0,0,0,5,,46
27,,0,235,230,0,true,,,,27,0,0,0,0,30,0,0,0,0,0,0,5,,48
28,,0,240,235,0,true,,,,28,0,0,0,0,30,0,0,0,0,0,0,5,,50
29,,0,245,240,0,true,,,,29,0,0,0,0,30,0,0,0,0,0,0,5,,52
30,,0,250,245,0,true,,,,30,0,0,0,0,35,0,0,0,0,0,0,5,,54
31,,0,255,250,0,true,,,,31,0,0,0,0,35,0,0,0,0,0,0,5,,56
32,,0,260,255,0,true,,,,32,0,0,0,0,35,0,0,0,0,0,0,5,,58
33,,0,265,260,0,true,,,,33,0,0,0,0,35,0,0,0,0,0,0,5,,60
34,,0,270,265,0,true,,,,34,0,0,0,0,35,0,0,0,0,0,0,5,,62
35,,0,275,270,0,true,,,,35,0,0,0,0,40,0,0,0,0,0,0,5,,64
36,,0,280,275,0,true,,,,36,0,0,0,0,40,0,0,0,0,0,0,5,,66
37,,0,285,280,0,true,,,,37,0,0,0,0,40,0,0,0,0,0,0,5,,68
38,,0,290,285,0,true,,,,38,0,0,0,0,40,0,0,0,0,0,0,5,,70
39,,0,295,290,0,true,,,,39,0,0,0,0,40,0,0,0,0,0,0,5,,72
