Level,DisplayName,RequiredLevel,MaximumInfluence,InfluenceCost,CurrencyCost,SanityCheck,GameEventId,SpecializationPoint,SkillBonus,RecipeLevel,RollBonus,MinGearScoreBonus,MaxGearScoreBonus,MinGearScoreBonusT2,MaxGearScoreBonusT2,MinGearScoreBonusT3,MaxGearScoreBonusT3,MinGearScoreBonusT4,MaxGearScoreBonusT4,MinGearScoreBonusT5,MaxGearScoreBonusT5,ResourceTierUnlocks,EntitlementId,XpReward
0,,0,120,0,0,,,,,0,0,0,0,0,5,0,0,0,0,0,0,5,,0
1,,0,126,120,0,true,,,,1,0,0,0,0,5,0,0,0,0,0,0,5,,10
2,,0,132,126,0,true,,,,2,0,0,0,0,5,0,0,0,0,0,0,5,,11
3,,0,138,132,0,true,,,,3,0,0,0,0,5,0,0,0,0,0,0,5,,12
4,,0,144,138,0,true,,,,4,0,0,0,0,5,0,0,0,0,0,0,5,,13
5,,0,150,144,0,true,,,,5,0,0,0,0,10,0,0,0,0,0,0,5,,14
6,,0,156,150,0,true,,,,6,0,0,0,0,10,0,0,0,0,0,0,5,,15
7,,0,162,156,0,true,,,,7,0,0,0,0,10,0,0,0,0,0,0,5,,16
8,,0,168,162,0,true,,,,8,0,0,0,0,10,0,0,0,0,0,0,5,,17
9,,0,174,168,0,true,,,,9,0,0,0,0,10,0,0,0,0,0,0,5,,18
10,,0,180,174,0,true,,,,10,0,0,0,0,15,0,0,0,0,0,0,5,,19
11,,0,186,180,0,true,,,,11,0,0,0,0,15,0,0,0,0,0,0,5,,20
12,,0,192,186,0,true,,,,12,0,0,0,0,15,0,0,0,0,0,0,5,,21
13,,0,198,192,0,true,,,,13,0,0,0,0,15,0,0,0,0,0,0,5,,22
14,,0,204,198,0,true,,,,14,0,0,0,0,15,0,0,0,0,0,0,5,,23
15,,0,210,204,0,true,,,,15,0,0,0,0,20,0,0,0,0,0,0,5,,24
16,,0,216,210,0,true,,,,16,0,0,0,0,20,0,0,0,0,0,0,5,,26
17,,0,222,216,0,true,,,,17,0,0,0,0,20,0,0,0,0,0,0,5,,28
18,,0,228,222,0,true,,,,18,0,0,0,0,20,0,0,0,0,0,0,5,,30
19,,0,234,228,0,true,,,,19,0,0,0,0,20,0,0,0,0,0,0,5,,32
20,,0,240,234,0,true,,,,20,0,0,0,0,25,0,0,0,0,0,0,5,,34
21,,0,246,240,0,true,,,,21,0,0,0,0,25,0,0,0,0,0,0,5,,36
22,,0,252,246,0,true,,,,22,0,0,0,0,25,0,0,0,0,0,0,5,,38
23,,0,258,252,0,true,,,,23,0,0,0,0,25,0,0,0,0,0,0,5,,40
24,,0,264,258,0,true,,,,24,0,0,0,0,25,0,0,0,0,0,0,5,,42
25,,0,270,264,0,true,,,,25,0,0,0,0,30,0,0,0,0,0,0,5,,44
26,,0,276,270,0,true,,,,26,0,0,0,0,30,0,0,0,0,0,0,5,,46
27,,0,282,276,0,true,,,,27,0,0,0,0,30,0,0,0,0,0,0,5,,48
28,,0,288,282,0,true,,,,28,0,0,0,0,30,0,0,0,0,0,0,5,,50
29,,0,294,288,0,true,,,,29,0,0,0,0,30,0,0,0,0,0,0,5,,52
30,,0,300,294,0,true,,,,30,0,0,0,0,35,0,0,0,0,0,0,5,,54
31,,0,306,300,0,true,,,,31,0,0,0,0,35,0,0,0,0,0,0,5,,56
32,,0,312,306,0,true,,,,32,0,0,0,0,35,0,0,0,0,0,0,5,,58
33,,0,318,312,0,true,,,,33,0,0,0,0,35,0,0,0,0,0,0,5,,60
34,,0,324,318,0,true,,,,34,0,0,0,0,35,0,0,0,0,0,0,5,,62
35,,0,330,324,0,true,,,,35,0,0,0,0,40,0,0,0,0,0,0,5,,64
36,,0,336,330,0,true,,,,36,0,0,0,0,40,0,0,0,0,0,0,5,,66
37,,0,342,336,0,true,,,,37,0,0,0,0,40,0,0,0,0,0,0,5,,68
38,,0,348,342,0,true,,,,38,0,0,0,0,40,0,0,0,0,0,0,5,,70
39,,0,354,348,0,true,,,,39,0,0,0,0,40,0,0,0,0,0,0,5,,72
40,,0,360,354,0,true,,,,40,0,0,0,5,45,0,0,0,0,0,0,5,,74
41,,0,366,360,0,true,,,,41,0,0,0,5,45,0,0,0,0,0,0,5,,77
42,,0,372,366,0,true,,,,42,0,0,0,5,45,0,0,0,0,0,0,5,,80
43,,0,378,372,0,true,,,,43,0,0,0,5,45,0,0,0,0,0,0,5,,83
44,,0,384,378,0,true,,,,44,0,0,0,5,45,0,0,0,0,0,0,5,,86
45,,0,390,384,0,true,,,,45,0,0,0,5,50,0,0,0,0,0,0,5,,89
46,,0,396,390,0,true,,,,46,0,0,0,5,50,0,0,0,0,0,0,5,,92
47,,0,402,396,0,true,,,,47,0,0,0,5,50,0,0,0,0,0,0,5,,95
48,,0,408,402,0,true,,,,48,0,0,0,5,50,0,0,0,0,0,0,5,,98
49,,0,414,408,0,true,,,,49,0,0,0,5,50,0,0,0,0,0,0,5,,101
50,,0,900,414,0,true,,,,50,0,0,0,10,55,0,5,0,0,0,0,5,,104
51,,0,990,900,0,true,,,,51,0,0,0,10,55,0,5,0,0,0,0,5,,108
52,,0,1080,990,0,true,,,,52,0,0,0,10,55,0,5,0,0,0,0,5,,112
53,,0,1170,1080,0,true,,,,53,0,0,0,10,55,0,5,0,0,0,0,5,,116
54,,0,1260,1170,0,true,,,,54,0,0,0,10,55,0,5,0,0,0,0,5,,120
55,,0,1350,1260,0,true,,,,55,0,0,0,10,60,0,10,0,0,0,0,5,,124
56,,0,1440,1350,0,true,,,,56,0,0,0,10,60,0,10,0,0,0,0,5,,128
57,,0,1530,1440,0,true,,,,57,0,0,0,10,60,0,10,0,0,0,0,5,,132
58,,0,1620,1530,0,true,,,,58,0,0,0,10,60,0,10,0,0,0,0,5,,136
59,,0,1710,1620,0,true,,,,59,0,0,0,15,60,0,10,0,0,0,0,5,,140
60,,0,1800,1710,0,true,,,,60,0,0,0,15,65,0,15,0,0,0,0,5,,144
61,,0,1890,1800,0,true,,,,61,0,0,0,15,65,0,15,0,0,0,0,5,,148
62,,0,1980,1890,0,true,,,,62,0,0,0,15,65,0,15,0,0,0,0,5,,152
63,,0,2070,1980,0,true,,,,63,0,0,0,15,65,0,15,0,0,0,0,5,,156
64,,0,2160,2070,0,true,,,,64,0,0,0,15,65,0,15,0,0,0,0,5,,160
65,,0,2250,2160,0,true,,,,65,0,0,0,15,70,0,20,0,0,0,0,5,,164
66,,0,2340,2250,0,true,,,,66,0,0,0,15,70,0,20,0,0,0,0,5,,168
67,,0,2430,2340,0,true,,,,67,0,0,0,15,70,0,20,0,0,0,0,5,,172
68,,0,2520,2430,0,true,,,,68,0,0,0,15,70,0,20,0,0,0,0,5,,176
69,,0,2610,2520,0,true,,,,69,0,0,0,15,70,0,20,0,0,0,0,5,,180
70,,0,2700,2610,0,true,,,,70,0,0,0,20,75,0,25,0,0,0,0,5,,184
71,,0,2790,2700,0,true,,,,71,0,0,0,20,75,0,25,0,0,0,0,5,,188
72,,0,2880,2790,0,true,,,,72,0,0,0,20,75,0,25,0,0,0,0,5,,192
73,,0,2970,2880,0,true,,,,73,0,0,0,20,75,0,25,0,0,0,0,5,,196
74,,0,3060,2970,0,true,,,,74,0,0,0,20,75,0,25,0,0,0,0,5,,200
75,,0,3150,3060,0,true,,,,75,0,0,0,20,75,0,30,0,0,0,0,5,,204
76,,0,3240,3150,0,true,,,,76,0,0,0,20,75,0,30,0,0,0,0,5,,209
77,,0,3330,3240,0,true,,,,77,0,0,0,20,75,0,30,0,0,0,0,5,,214
78,,0,3420,3330,0,true,,,,78,0,0,0,20,75,0,30,0,0,0,0,5,,219
79,,0,3510,3420,0,true,,,,79,0,0,0,20,75,0,30,0,0,0,0,5,,224
80,,0,3600,3510,0,true,,,,80,0,0,0,20,75,0,35,0,0,0,0,5,,229
81,,0,3690,3600,0,true,,,,81,0,0,0,20,75,0,35,0,0,0,0,5,,234
82,,0,3780,3690,0,true,,,,82,0,0,0,20,75,0,35,0,0,0,0,5,,239
83,,0,3870,3780,0,true,,,,83,0,0,0,20,75,0,35,0,0,0,0,5,,244
84,,0,3960,3870,0,true,,,,84,0,0,0,20,75,0,35,0,0,0,0,5,,249
85,,0,4050,3960,0,true,,,,85,0,0,0,20,75,0,40,0,0,0,0,5,,254
86,,0,4140,4050,0,true,,,,86,0,0,0,20,75,0,40,0,0,0,0,5,,259
87,,0,4230,4140,0,true,,,,87,0,0,0,20,75,0,40,0,0,0,0,5,,264
88,,0,4320,4230,0,true,,,,88,0,0,0,20,75,0,40,0,0,0,0,5,,269
89,,0,4410,4320,0,true,,,,89,0,0,0,20,75,0,40,0,0,0,0,5,,274
