VariantID,StartMesh,GatherableEntryID,GatheringRadius,InteractionRadius,DetectableRadius,AudioPreload_loop,AudioPreload_Burst_1,AudioPreload_Burst_2,AudioPreload_Burst_3,AudioPreload_depleted,SFX_depleted,SFX_Idle,VFX_Idle,SFX_Burst_1,SFX_Burst_2,SFX_Burst_3,VFX_Burst_1,VFX_Burst_2,VFX_Burst_3,DepletedVFX,DepletedMesh,StartMeshLOD,EndMeshLOD,ShowOnMap,ShowOnCompass,MapIcon,CompassIcon,TradeskillIconUnlockType,MapTooltipTitleLocTag,MarkerRadius,EnableBurstParticle1,EnableBurstParticle2,EnableBurstParticle3,InteractionMarker_Offset_X,InteractionMarker_Offset_Y,InteractionMarker_Offset_Z
EarthPlant,Objects\Alchemy\Plant\PlantMagic\jav_prp_alchemy_plantmagic_earth.cgf,EarthPlant,0.5,1.75,2.5,Gath_Alchemy_Earth_Plant,Gath_Alchemy_Earth_Plant,Gath_Alchemy_Earth_Plant,Gath_Alchemy_Earth_Plant,,Play_Gather_Stones,Play_Alchemy_Earth_Plant_Lp,Gatherable_Alchemy_Plant.Ambience.Plant_Earth_Idle01,,,,Gatherable_Alchemy_Plant.Ambience.Plant_Earth_Burst01,Gatherable_Alchemy_Plant.Ambience.Plant_Earth_Burst02,Gatherable_Alchemy_Plant.Ambience.Plant_Earth_Burst03,Gatherable_Alchemy_Plant.Ambience.Plant_Earth_Deplete01,Objects\Alchemy\Plant\PlantMagic\jav_prp_alchemy_plant_base_a.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Earth_Plant_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Earth_Plant_Compass.png,Alchemy1,@EarthPlant_DisplayName,3.25,false,false,false,,,
FirePlant,Objects\Alchemy\Plant\PlantMagic\jav_prp_alchemy_plantmagic_fire.cgf,FirePlant,0.5,1.75,2.5,Gath_Alchemy_Fire_Plant_Lp,Gath_Alchemy_Fire_Plant,Gath_Alchemy_Fire_Plant,Gath_Alchemy_Fire_Plant,Gath_Alchemy_Fire_Plant,Play_Alchemy_Fire_Plant,Play_Alchemy_Fire_Plant_Lp,Gatherable_Alchemy_Plant.Ambience.Plant_Fire_Idle01,Play_Alchemy_Fire_Plant,Play_Alchemy_Fire_Plant,Play_Alchemy_Fire_Plant,Gatherable_Alchemy_Plant.Ambience.Plant_Fire_Burst01,Gatherable_Alchemy_Plant.Ambience.Plant_Fire_Burst02,Gatherable_Alchemy_Plant.Ambience.Plant_Fire_Burst03,Gatherable_Alchemy_Plant.Ambience.Plant_Fire_Deplete01,Objects\Alchemy\Plant\PlantMagic\jav_prp_alchemy_plant_base_a.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Fire_Plant_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Fire_Plant_Compass.png,Alchemy1,@FirePlant_DisplayName,3.25,false,false,false,,,
AirPlant,Objects\Alchemy\Plant\PlantMagic\jav_prp_alchemy_plantmagic_air.cgf,AirPlant,0.5,1.75,2.5,Gath_Alchemy_Air_Boid_Lp,Gath_Alchemy_Air_Boid,Gath_Alchemy_Air_Boid,Gath_Alchemy_Air_Boid,Gath_Alchemy_Air_Boid,Play_Alchemy_Air_Plant,Play_Alchemy_Air_Boid_Lp,Gatherable_Alchemy_Plant.Ambience.Plant_Air_Idle01,Play_Alchemy_Air_Sparks_Boid_01,Play_Alchemy_Air_Sparks_Boid_02,Play_Alchemy_Air_Sparks_Boid_03,Gatherable_Alchemy_Plant.Ambience.Plant_Air_Burst01,Gatherable_Alchemy_Plant.Ambience.Plant_Air_Burst02,Gatherable_Alchemy_Plant.Ambience.Plant_Air_Burst03,Gatherable_Alchemy_Plant.Ambience.Plant_Air_Deplete01,Objects\Alchemy\Plant\PlantMagic\jav_prp_alchemy_plant_base_a.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Wind_Plant_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Wind_Plant_Compass.png,Alchemy1,@AirPlant_DisplayName,3.25,false,false,false,,,
WaterPlant,Objects\Alchemy\Plant\PlantMagic\jav_prp_alchemy_plantmagic_water.cgf,WaterPlant,0.5,1.75,2.5,Gath_Alchemy_Water_Plant,Gath_Alchemy_Water_Plant,Gath_Alchemy_Water_Plant,Gath_Alchemy_Water_Plant,,Play_Gather_Stones,Play_Alchemy_Water_Plant_Lp,Gatherable_Alchemy_Plant.Ambience.Plant_Water_Idle01,,,,Gatherable_Alchemy_Plant.Ambience.Plant_Water_Burst01,Gatherable_Alchemy_Plant.Ambience.Plant_Water_Burst02,Gatherable_Alchemy_Plant.Ambience.Plant_Water_Burst03,Gatherable_Alchemy_Plant.Ambience.Plant_Water_Deplete01,Objects\Alchemy\Plant\PlantMagic\jav_prp_alchemy_plant_base_a.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Water_Plant_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Water_Plant_Compass.png,Alchemy1,@WaterPlant_DisplayName,3.25,false,false,false,,,
LifePlant,Objects\Alchemy\Plant\PlantMagic\jav_prp_alchemy_plantmagic_life.cgf,LifePlant,0.5,1.75,2.5,Gath_Alchemy_Life_Plant,Gath_Alchemy_Life_Plant,Gath_Alchemy_Life_Plant,Gath_Alchemy_Life_Plant,,Play_Gather_Stones,Play_Alchemy_Life_Plant_Lp,Gatherable_Alchemy_Plant.Ambience.Plant_Life_Idle01,,,,Gatherable_Alchemy_Plant.Ambience.Plant_Life_Burst01,Gatherable_Alchemy_Plant.Ambience.Plant_Life_Burst02,Gatherable_Alchemy_Plant.Ambience.Plant_Life_Burst03,Gatherable_Alchemy_Plant.Ambience.Plant_Life_Deplete01,Objects\Alchemy\Plant\PlantMagic\jav_prp_alchemy_plant_base_a.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Life_Plant_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Life_Plant_Compass.png,Alchemy1,@LifePlant_DisplayName,3.25,false,false,false,,,
DeathPlant,Objects\Alchemy\Plant\jav_prp_alchemy_plant_a.cgf,DeathPlant,0.5,1.75,2.5,Gath_Alchemy_Death_Plant_Lp,Gath_Alchemy_Death_Plant,Gath_Alchemy_Death_Plant,Gath_Alchemy_Death_Plant,Gath_Alchemy_Death_Plant,Play_Alchemy_Death_Plant,Play_Alchemy_Death_Plant_Lp,Gatherable_Alchemy_Plant.Ambience.Plant_Death_Idle01,Play_Alchemy_Death_Plant,Play_Alchemy_Death_Plant,Play_Alchemy_Death_Plant,Gatherable_Alchemy_Plant.Ambience.Plant_Death_Burst01,Gatherable_Alchemy_Plant.Ambience.Plant_Death_Burst02,Gatherable_Alchemy_Plant.Ambience.Plant_Death_Burst03,Gatherable_Alchemy_Plant.Ambience.Plant_Death_Deplete01,Objects\Alchemy\Plant\PlantMagic\jav_prp_alchemy_plant_base_a.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Death_Plant_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Death_Plant_Compass.png,Alchemy1,@DeathPlant_DisplayName,3.25,false,false,false,,,
SoulPlant,Objects\Alchemy\Plant\PlantMagic\jav_prp_alchemy_plantmagic_soul.cgf,SoulPlant,0.5,1.75,2.5,Gath_alchemy_soul_plant,Gath_alchemy_soul_plant,Gath_alchemy_soul_plant,Gath_alchemy_soul_plant,,Play_Gather_Stones,Play_Alchemy_Soul_Plant_Lp,Gatherable_Alchemy_Plant.Ambience.Plant_Soul_Idle01,,,,Gatherable_Alchemy_Plant.Ambience.Plant_Soul_Burst01,Gatherable_Alchemy_Plant.Ambience.Plant_Soul_Burst02,Gatherable_Alchemy_Plant.Ambience.Plant_Soul_Burst03,Gatherable_Alchemy_Plant.Ambience.Plant_Soul_Deplete01,Objects\Alchemy\Plant\PlantMagic\jav_prp_alchemy_plant_base_a.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Spirit_Plant_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Spirit_Plant_Compass.png,Alchemy1,@SoulPlant_DisplayName,3.25,false,false,false,,,
EarthStone,Objects\Alchemy\Stone\jav_prp_alchemy_stonemagic_earth.cgf,EarthStone,1,2.25,2.5,Gath_alchemy_earth_stone_Lp,Gath_alchemy_earth_stone,Gath_alchemy_earth_stone,Gath_alchemy_earth_stone,,Play_Gather_Stones,Play_Alchemy_Earth_Stone_Lp,Gatherable_Alchemy_Stone.Ambience.Stone_Earth_Idle01,Play_Alchemy_Earth_Stone,Play_Alchemy_Earth_Stone,Play_Alchemy_Earth_Stone,Gatherable_Alchemy_Stone.Ambience.Stone_Earth_Burst01,Gatherable_Alchemy_Stone.Ambience.Stone_Earth_Burst02,Gatherable_Alchemy_Stone.Ambience.Stone_Earth_Burst03,Gatherable_Alchemy_Stone.Ambience.Stone_Earth_Deplete01,Objects\Alchemy\Stone\jav_prp_alchemy_stonemagic_earth_pedestal.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Earth_Stone_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Earth_Stone_Compass.png,Alchemy2,@EarthStone_DisplayName,3.75,false,false,false,,,
FireStone,Objects\Alchemy\Stone\jav_prp_alchemy_stonemagic_fire.cgf,FireStone,1,2.25,2.5,Gath_Alchemy_Fire_Stone_Lp,Gath_Alchemy_Fire_Stone,Gath_Alchemy_Fire_Stone,Gath_Alchemy_Fire_Stone,Gath_Alchemy_Fire_Stone,Play_Alchemy_Fire_Stone,Play_Alchemy_Fire_Stone_Lp,Gatherable_Alchemy_Stone.Ambience.Stone_Fire_Idle01,Play_Alchemy_Fire_Stone,Play_Alchemy_Fire_Stone,Play_Alchemy_Fire_Stone,Gatherable_Alchemy_Stone.Ambience.Stone_Fire_Burst01,Gatherable_Alchemy_Stone.Ambience.Stone_Fire_Burst02,Gatherable_Alchemy_Stone.Ambience.Stone_Fire_Burst03,Gatherable_Alchemy_Plant.Ambience.Plant_Fire_Deplete01,Objects\Alchemy\Stone\jav_prp_alchemy_stonemagic_fire_pedestal.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Fire_Stone_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Fire_Stone_Compass.png,Alchemy2,@FireStone_DisplayName,3.75,false,false,false,,,
AirStone,Objects\Alchemy\Stone\jav_prp_alchemy_stonemagic_air.cgf,AirStone,1,2.25,2.5,Gath_Alchemy_Air_Stone_Lp,Gath_Alchemy_Air_Stone,Gath_Alchemy_Air_Stone,Gath_Alchemy_Air_Stone,Gath_Alchemy_Air_Stone,Play_Gather_Stones,Play_Alchemy_Air_Stone_Lp,Gatherable_Alchemy_Stone.Ambience.Stone_Air_Idle01,Play_Alchemy_Air_Sparks_Stone,Play_Alchemy_Air_Sparks_Stone,Play_Alchemy_Air_Sparks_Stone,Gatherable_Alchemy_Stone.Ambience.Stone_Air_Burst01,Gatherable_Alchemy_Stone.Ambience.Stone_Air_Burst02,Gatherable_Alchemy_Stone.Ambience.Stone_Air_Burst03,Gatherable_Alchemy_Stone.Ambience.Stone_Air_Deplete01,Objects\Alchemy\Stone\jav_prp_alchemy_stonemagic_air_pedestal.cgf,100,100,1,1,LyShineUI\Images\Map\Icon\Gatherables\Wind_Stone_Compass.png,LyShineUI\Images\Map\Icon\Gatherables\Wind_Stone_Compass.png,Alchemy2,@AirStone_DisplayName,3.75,false,false,false,,,
