VariantID,ResetTime,ForgetInstancedStateTime,NumCyclicStates,InteractTag,Visual_BaseMesh,Visual_RotatedBaseMesh,Visual_WaitingForReset,Visual_NotOnRequiredQuest,Gatherable_0,Gatherable_0_Variant,Delay_0,RotationPercent_0,Gatherable_1,Gatherable_1_Variant,Delay_1,RotationPercent_1,Gatherable_2,Gatherable_2_Variant,Delay_2,RotationPercent_2,Gatherable_3,Gatherable_3_Variant,Delay_3,RotationPercent_3,Gatherable_4,Gatherable_4_Variant,Delay_4,RotationPercent_4,AE.0_RequiredAchievementConditional,AE.1_RE.0_TargetRotationPercent
Cyclic_Test,20,,5,,,,slices\WorldEvents\Mourningdale\Interact\SilverOrb\WorldEvent_Object_1101_SilverOrb_00.dynamicslice,,slices\Gatherables\Master_Quest.dynamicslice,0511_PowderkegA,,,slices\Gatherables\Master_Quest.dynamicslice,0512_PowderkegB,,,slices\Gatherables\Master_Quest.dynamicslice,0513_LighthouseLure,,,slices\Gatherables\Master_Quest.dynamicslice,0511_PowderkegA,,,slices\Gatherables\Master_Quest.dynamicslice,0512_PowderkegB,,,,
Cyclic_Test_2,0,,3,,,,,,slices\Gatherables\Master_Quest.dynamicslice,0804_Furniture,,,slices\Gatherables\Master_Quest.dynamicslice,0804_Tomb,,,slices\Gatherables\Master_Quest.dynamicslice,0804_Tomb,,,,,,,,,,,,
Cyclic_Test_Instanced,12,,5,IO_0601_DirtHoleB,,,slices\WorldEvents\Mourningdale\Interact\MedallionChest\WorldEvent_Object_1104_MedallionChest_01.dynamicslice,slices\WorldEvents\Mourningdale\Interact\SilverOrb\WorldEvent_Object_1101_SilverOrb_00.dynamicslice,slices\Gatherables\Master_Quest_Instanced.dynamicslice,0901_Barley,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,0902_GunpowderCask,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,0904_FishTrap,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,0901_Barley,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,0902_GunpowderCask,,,,
Cyclic_Test_Instanced_2,0,,3,IO_0901_Barley,,,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,0902_GunpowderCask,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,0901_Barley,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,0904_FishTrap,,,,,,,,,,,,
CyclicExample_Light_Prisma,60,,5,IO_0601_DirtHoleB,,,slices\Test\CyclicExample_Prisma_Lavendar.dynamicslice,slices\Test\CyclicExample_Prisma_White.dynamicslice,slices\Gatherables\Master_Quest_Instanced.dynamicslice,CyclicExample_White_Prisma,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,CyclicExample_Red_Prisma,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,CyclicExample_Orange_Prisma,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,CyclicExample_Green_Prisma,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,CyclicExample_Cyan_Prisma,,,,
TumblerExample,0,,5,IO_0601_DirtHoleB,,slices\Test\CyclicExample_Prisma_Lavendar.dynamicslice,slices\Test\CyclicExample_Sapling.dynamicslice,slices\Test\CyclicExample_Prisma_White.dynamicslice,slices\Gatherables\Master_Quest_Instanced.dynamicslice,CyclicExample_White_Prisma,1,0.2,slices\Gatherables\Master_Quest_Instanced.dynamicslice,CyclicExample_Red_Prisma,1,0.4,slices\Gatherables\Master_Quest_Instanced.dynamicslice,CyclicExample_Orange_Prisma,1,0.6,slices\Gatherables\Master_Quest_Instanced.dynamicslice,CyclicExample_Green_Prisma,1,0.8,slices\Gatherables\Master_Quest_Instanced.dynamicslice,CyclicExample_Cyan_Prisma,1,1,,
CyclicExample_Dark_Prisma,60,,5,IO_0601_DirtHoleB,,,slices\Test\CyclicExample_Prisma_White.dynamicslice,slices\Test\CyclicExample_Prisma_Black.dynamicslice,slices\Gatherables\Master_Quest_Proximity_Instanced.dynamicslice,CyclicExample_Black_Prisma,,,slices\Gatherables\Master_Quest_Damageable_Instanced.dynamicslice,CyclicExample_Purple_Prisma,,,slices\Gatherables\Master_Quest_Damageable_Instanced.dynamicslice,CyclicExample_Blue_Prisma,,,slices\Gatherables\Master_Quest_Damageable_Instanced.dynamicslice,CyclicExample_Turquoise_Prisma,,,slices\Gatherables\Master_Quest_Damageable_Instanced.dynamicslice,CyclicExample_Yellow_Prisma,,,,
CyclicExample_GrowingTree,60,,3,IO_0601_DirtHoleB,,,slices\Test\CyclicExample_HugeTree.dynamicslice,slices\Test\CyclicExample_Sapling.dynamicslice,slices\Gatherables\Master_Quest_Instanced.dynamicslice,CyclicExample_Sapling,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,CyclicExample_ShortTree,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,CyclicExample_TallTree,,,,,,,,,,,,
CyclicExample_Triple,10,,3,IO_0601_DirtHoleB,,,slices\Test\CyclicExample_Prisma_Blue.dynamicslice,slices\Test\CyclicExample_Prisma_White.dynamicslice,slices\Gatherables\Master_Quest_Instanced.dynamicslice,CyclicExample_Red_Prisma,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,CyclicExample_Orange_Prisma,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,CyclicExample_Green_Prisma,,,,,,,,,,,,
CyclicExample_Triple_NoDepleted,0,,3,IO_0601_DirtHoleB,,,,slices\Test\CyclicExample_Prisma_White.dynamicslice,slices\Gatherables\Master_Quest_Instanced.dynamicslice,CyclicExample_Red_Prisma,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,CyclicExample_Orange_Prisma,,,slices\Gatherables\Master_Quest_Instanced.dynamicslice,CyclicExample_Green_Prisma,,,,,,,,,,,,
