VariantID,Visual_Healthy,Visual_Depleted,Visual_NotOnRequiredQuest,Visual_Basemesh,GatherableEntryID,GatheringRadius,InteractionRadius,DetectableRadius,MarkerRadius,AudioPreload_depleted,SFX_depleted,SFX_Idle,VFX_Idle,IdleVFX_Offset_Z,DepletedVFX,depletedVFX_Offset_Z,DepletedVFX_Quest,DepletedVFX_Quest_Offset_Z,GatheringFX,gatheringVFX_Offzet_Z,interactionMarker_Offset_Z,InteractionEvent,InteractTag,InteractOnlyOnQuest,AchievementID,AchievementServerState,IsStateControlledBySlayerScript,RequireLoS,RequiredAchievement,AE.0_RequiredAchievementConditional,Card1_Visual,Card2_Visual,Card3_Visual
16BS_AncientGlyphLock_01,,,,,16BS_AncientGlyphLock,0.3,3.25,2.5,5,,Play_Recall_FastTravel_Puff,,cFX_Loot.Loot_Sparkles_small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_16BS_AncientGlyphLock_01,false,,,,,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_01,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_01,,,
16BS_AncientGlyphLock_02,,,,,16BS_AncientGlyphLock,0.3,3.25,2.5,5,,Play_Recall_FastTravel_Puff,,cFX_Loot.Loot_Sparkles_small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_16BS_AncientGlyphLock_02,false,,,,,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_02,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_02,,,
16BS_AncientGlyphLock_03,,,,,16BS_AncientGlyphLock,0.3,3.25,2.5,5,,Play_Recall_FastTravel_Puff,,cFX_Loot.Loot_Sparkles_small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_16BS_AncientGlyphLock_03,false,,,,,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_03,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_03,,,
16BS_AncientGlyphLock_04,,,,,16BS_AncientGlyphLock,0.3,3.25,2.5,5,,Play_Recall_FastTravel_Puff,,cFX_Loot.Loot_Sparkles_small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_16BS_AncientGlyphLock_04,false,,,,,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_04,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_04,,,
16BS_AncientGlyphLock_05,,,,,16BS_AncientGlyphLock,0.3,3.25,2.5,5,,Play_Recall_FastTravel_Puff,,cFX_Loot.Loot_Sparkles_small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_16BS_AncientGlyphLock_05,false,,,,,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_05,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_05,,,
16BS_AncientGlyphLock_06,,,,,16BS_AncientGlyphLock,0.3,3.25,2.5,5,,Play_Recall_FastTravel_Puff,,cFX_Loot.Loot_Sparkles_small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_16BS_AncientGlyphLock_06,false,,,,,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_06,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_06,,,
16BS_AncientGlyphLock_07,,,,,16BS_AncientGlyphLock,0.3,3.25,2.5,5,,Play_Recall_FastTravel_Puff,,cFX_Loot.Loot_Sparkles_small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_16BS_AncientGlyphLock_07,false,,,,,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_07,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_07,,,
16BS_AncientGlyphLock_08,,,,,16BS_AncientGlyphLock,0.3,3.25,2.5,5,,Play_Recall_FastTravel_Puff,,cFX_Loot.Loot_Sparkles_small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_16BS_AncientGlyphLock_08,false,,,,,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_08,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_08,,,
16BS_AncientGlyphLock_09,,,,,16BS_AncientGlyphLock,0.3,3.25,2.5,5,,Play_Recall_FastTravel_Puff,,cFX_Loot.Loot_Sparkles_small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_16BS_AncientGlyphLock_09,false,,,,,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_09,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_09,,,
16BS_AncientGlyphLock_10,,,,,16BS_AncientGlyphLock,0.3,3.25,2.5,5,,Play_Recall_FastTravel_Puff,,cFX_Loot.Loot_Sparkles_small,,,,cFX_Loot.Loot_Quest_Small_Depleted,,,,,,IO_16BS_AncientGlyphLock_10,false,,,,,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_10,Lore_unlock_Tales_of_Brimstone_Sands_Title_13_10,,,
