VariantID,StartMesh,StartMat,GatherableEntryID,GatheringRadius,InteractionRadius,DetectableRadius,DepletedVFX,DepletedVFX_Pos,DepletedMesh,DepletedMat,DepletedSpawnVariant,StartMeshLOD,AmbientType,ShowOnCompass,CompassIcon,TradeskillIconUnlockType,MarkerRadius,AllowGatheringInGameModes,InteractionMarker_Offset_X,InteractionMarker_Offset_Y,InteractionMarker_Offset_Z
BeechTree_a,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_full_a.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl,TreeHardwoodLarge,0.85,2.5,2,Gatherable_Tree.Demolish.Break_Tree_A,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_stump_a.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl,BeechTree_a_cuttrunk,50,BeechTree,,,,4,,,,
BeechTree_b,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_full_b.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl,TreeHardwoodLarge,0.45,2.2,2,Gatherable_Tree.Demolish.Break_Tree_C,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_stump_b.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl,BeechTree_b_cuttrunk,60,BeechTree,,,,3.7,,,,
BeechTree_ba,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_full_ba.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl,TreeHardwoodMedium,0.25,2.2,2,Gatherable_Tree.Demolish.Break_Tree_C,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_stump_ba.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl,BeechTree_ba_cuttrunk,55,BeechTree,,,,3.7,,,,
BeechTree_ca,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_full_ca.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl,TreeHardwoodMedium,0.16,1.8,2,Gatherable_Tree.Demolish.Break_Tree_E,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_stump_ca.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl,BeechTree_ca_cuttrunk,55,BeechTree,,,,3.3,,,,
BeechTree_cb,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_full_cb.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl,TreeHardwoodSmall,0.1,1.8,2,Gatherable_Tree.Demolish.Break_Tree_E,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_stump_cb.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl,BeechTree_cb_cuttrunk,50,BeechTree,,,,3.3,,,,
BeechTree_cc,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_full_cc.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl,TreeHardwoodSmall,0.1,1.8,2,Gatherable_Tree.Demolish.Break_Tree_E,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_stump_cc.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl,BeechTree_cc_cuttrunk,45,BeechTree,,,,3.3,,,,
BeechTree_cd,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_full_cd.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl,TreeHardwoodSmall,0.12,1.8,2,Gatherable_Tree.Demolish.Break_Tree_E,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_stump_cd.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl,BeechTree_cd_cuttrunk,50,BeechTree,,,,3.3,,,,
BeechTree_d,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_full_d.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl,TreeHardwoodSmall,0.08,1.8,2,Gatherable_Tree.Demolish.Break_Tree_F,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_stump_d.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl,BeechTree_d_cuttrunk,50,BeechTree,,,,3.3,,,,
BeechTree_e,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_full_e.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl,TreeHardwoodTiny,0.01,1.8,2,Gatherable_Tree.Demolish.Break_Tree_F,0.7,Objects\Nature\Veg_Trees\Trees_Forest\Beech\jav_fst_beechtree_stump_e.cgf,Objects\Nature\Veg_Trees\Trees_Forest\Beech\JAV_Fst_BeechTree_mat.mtl,BeechTree_e_cuttrunk,50,BeechTree,,,,3.3,,,,
DamnedTree_a,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_full_a.cgf,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl,TreeWithered,0.85,2.5,2,Gatherable_Tree.Demolish.Break_Tree_A,0.7,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_stump_a.cgf,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl,DamnedTree_a_cuttrunk,50,DeadTree,,,,4,,,,
DamnedTree_dead_a,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_dead_a.cgf,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl,TreeWithered,0.85,2.5,2,Gatherable_Tree.Demolish.Break_Tree_C,0.7,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_dead_stump_a.cgf,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl,DamnedTree_Dead_A_cuttrunk,50,DeadTree,,,,4,,,,
DamnedTree_b,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_full_b.cgf,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl,TreeWithered,0.45,2.2,2,Gatherable_Tree.Demolish.Break_Tree_B,0.7,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_stump_b.cgf,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl,DamnedTree_b_cuttrunk,60,DeadTree,,,,3.7,,,,
DamnedTree_dead_b,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_dead_b.cgf,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl,TreeWithered,0.45,2.2,2,Gatherable_Tree.Demolish.Break_Tree_D,0.7,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_dead_stump_b.cgf,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl,DamnedTree_Dead_B_cuttrunk,60,DeadTree,,,,3.7,,,,
DamnedTree_ba,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_full_ba.cgf,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl,TreeWithered,0.25,1.8,2,Gatherable_Tree.Demolish.Break_Tree_C,0.7,Objects\Nature\Veg_Trees\Trees_Damned\Damned\jav_dmd_damnedtree_stump_ba.cgf,Objects\Nature\Veg_Trees\Trees_Damned\Damned\JAV_Dmd_DamnedTree_Full_A_mat.mtl,DamnedTree_ba_cuttrunk,55,DeadTree,,,,3.3,,,,
