VariantID,AreaID,VitalsLevelOverride_001,VitalsCategoryOverride_001,VitalsLevelOverride_002,VitalsCategoryOverride_002,VitalsLevelOverride_003,VitalsCategoryOverride_003
Anubian01_16BS01,16BS01,60,@VC_AnubianGuardian_Spearman_16BS01,,,,
Anubian01_16BS02,16BS02,60,@VC_AnubianGuardian_Spearman_16BS02,,,,
Anubian01_16BS03,16BS03,60,@VC_AnubianGuardian_Spearman_16BS03,,,,
Anubian01_16BS04,16BS04,60,@VC_AnubianGuardian_Spearman_16BS04,,,,
Anubian01_16BS05,16BS05,60,@VC_AnubianGuardian_Spearman_16BS05,,,,
Anubian01_16BS06,16BS06,60,@VC_AnubianGuardian_Spearman_16BS06,,,,
Anubian01_16BS07,16BS07,60,@VC_AnubianGuardian_Spearman_16BS07,,,,
Anubian01_16BS08,16BS08,60,@VC_AnubianGuardian_Spearman_16BS08,,,,
Anubian01_16BS09,16BS09,60,@VC_AnubianGuardian_Spearman_16BS09,,,,
Anubian01_16BS10,16BS10,60,@VC_AnubianGuardian_Spearman_16BS10,,,,
Anubian01_16BS11,16BS11,60,@VC_AnubianGuardian_Spearman_16BS11,,,,
Anubian01_16BS12,16BS12,60,@VC_AnubianGuardian_Spearman_16BS12,,,,
