VitalsID,DisplayName,Level,BaseVitalsId
Werewolf_Asena_MSQ_Pt1,@Werewolf_Asena_MSQ_Pt1_VitalsName,66,Werewolf_Asena_MSQ_Pt1
Werewolf_Asena_MSQ_Pt2,@Werewolf_Asena_MSQ_Pt2_VitalsName,67,Werewolf_Asena_MSQ_Pt2
Werewolf_Asena_Minion,@Werewolf_Asena_Minion_VitalsName,66,Werewolf_Asena_Minion
Werewolf_Alpha_Asena_Minion,@Werewolf_Alpha_Asena_Minion_VitalsName,66,Werewolf_Alpha_Asena_Minion
Werebear_Crusher_Asena_Minion,@Werebear_Crusher_Asena_Minion_VitalsName,67,Werebear_Crusher_Asena_Minion
Wereraven_Caster_Asena_Minion,@Wereraven_Caster_Asena_Minion_VitalsName,67,Wereraven_Caster_Asena_Minion
Wereraven_Asena_Minion,@Wereraven_Asena_Minion_VitalsName,67,Wereraven_Asena_Minion
Werebear_Asena_Minion,@Werebear_Asena_Minion_VitalsName,67,Werebear_Asena_Minion
Inquisitor_Flamekeeper_Named_17DW01_20324,@Inquisitor_Flamekeeper_Named_17DW01_20324_VitalsName,70,Inquisitor_Flamekeeper_Named_17DW01_20324
Inquisitor_Cleric_Named_17DW01_20321,@Inquisitor_Cleric_Named_17DW01_20321_VitalsName,70,Inquisitor_Cleric_Named_17DW01_20321
Inquisitor_Warden_Named_17DW01_20332,@Inquisitor_Warden_Named_17DW01_20332_VitalsName,70,Inquisitor_Warden_Named_17DW01_20332
Inquisitor_Markswoman_Named_17DW01_20323,@Inquisitor_Markswoman_Named_17DW01_20323_VitalsName,74,Inquisitor_Markswoman_Named_17DW01_20323
Inquisitor_Enforcer_Named_17DW01_20219,@Inquisitor_Enforcer_Named_17DW01_20219_VitalsName,75,Inquisitor_Enforcer_Named_17DW01_20219
Inquisitor_Grunt,@Inquisitor_Grunt_VitalsName,65,Inquisitor_Grunt
Inquisitor_Grunt_66,@Inquisitor_Grunt_VitalsName,66,Inquisitor_Grunt
Inquisitor_Grunt_67,@Inquisitor_Grunt_VitalsName,67,Inquisitor_Grunt
Inquisitor_Grunt_68,@Inquisitor_Grunt_VitalsName,68,Inquisitor_Grunt
Inquisitor_Grunt_69,@Inquisitor_Grunt_VitalsName,69,Inquisitor_Grunt
Inquisitor_Grunt_70,@Inquisitor_Grunt_VitalsName,70,Inquisitor_Grunt
Inquisitor_Grunt_71,@Inquisitor_Grunt_VitalsName,71,Inquisitor_Grunt
Inquisitor_Grunt_72,@Inquisitor_Grunt_VitalsName,72,Inquisitor_Grunt
Inquisitor_Grunt_73,@Inquisitor_Grunt_VitalsName,73,Inquisitor_Grunt
Inquisitor_Grunt_74,@Inquisitor_Grunt_VitalsName,74,Inquisitor_Grunt
Inquisitor_Grunt_75,@Inquisitor_Grunt_VitalsName,75,Inquisitor_Grunt
Inquisitor_Grunt_76,@Inquisitor_Grunt_VitalsName,76,Inquisitor_Grunt
Inquisitor_Grunt_77,@Inquisitor_Grunt_VitalsName,77,Inquisitor_Grunt
Inquisitor_Grunt_78,@Inquisitor_Grunt_VitalsName,78,Inquisitor_Grunt
Inquisitor_Grunt_79,@Inquisitor_Grunt_VitalsName,79,Inquisitor_Grunt
Inquisitor_Grunt_80,@Inquisitor_Grunt_VitalsName,80,Inquisitor_Grunt
Inquisitor_Cleric,@Inquisitor_Cleric_VitalsName,65,Inquisitor_Cleric
Inquisitor_Cleric_66,@Inquisitor_Cleric_VitalsName,66,Inquisitor_Cleric
Inquisitor_Cleric_67,@Inquisitor_Cleric_VitalsName,67,Inquisitor_Cleric
