WeaponAppearanceID,Name,Description,ItemClass,Art ID Names,Weapon Material name Info,MeshOverride,SkinOverride1,MaterialOverride1,SkinOverride2,MaterialOverride2,SkinOverride3,MaterialOverride3,SkinOverride4,MaterialOverride4,MaskRColor,MaskROverride,MaskR,MaskGColor,MaskGOverride,MaskG,MaskBColor,MaskBOverride,MaskB,MaskASpecColor,MaskASpec,MaskAGlossShift,MaskAGloss,EmissiveColor,EmissiveIntensity,SoundTableID,IconCaptureGroup,IconPath,HiResIconPath
MandolinT1,,,,MandolinT1,Stone / Wood,Objects/Instruments/Mandolins/MandolinT1/musi_mand_mandolinT1.cdf,,,,,,,,,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0.5,0,,,MXMI_Mandolin,Mandolin,,
MandolinT2,@MandolinT2_TransmogName,,EquippableTool+InstrumentMandolin,MandolinT2,Iron,Objects/Instruments/Mandolins/MandolinT2/musi_mand_mandolinT2.cdf,,,,,,,,,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0.5,0,,,MXMI_Mandolin,Mandolin,lyshineui/images/icons/items/MusicalActions/MandolinT2.png,lyshineui/images/icons/items_hires/MandolinT2.png
MandolinT3,@MandolinT3_TransmogName,,EquippableTool+InstrumentMandolin,MandolinT3,Steel,Objects/Instruments/Mandolins/MandolinT3/musi_mand_mandolinT3.cdf,,,,,,,,,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0.5,0,,,MXMI_Mandolin,Mandolin,lyshineui/images/icons/items/MusicalActions/MandolinT3.png,lyshineui/images/icons/items_hires/MandolinT3.png
MandolinT4,@MandolinT4_TransmogName,,EquippableTool+InstrumentMandolin,MandolinT4,Starmetal,Objects/Instruments/Mandolins/MandolinT4/musi_mand_mandolinT4.cdf,,,,,,,,,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0.5,0,,,MXMI_Mandolin,Mandolin,lyshineui/images/icons/items/MusicalActions/MandolinT4.png,lyshineui/images/icons/items_hires/MandolinT4.png
MandolinT5,@MandolinT5_TransmogName,,EquippableTool+InstrumentMandolin,MandolinT5,Orichalcum,Objects/Instruments/Mandolins/MandolinT5/musi_mand_mandolinT5.cdf,,,,,,,,,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0.5,0,,,MXMI_Mandolin,Mandolin,lyshineui/images/icons/items/MusicalActions/MandolinT5.png,lyshineui/images/icons/items_hires/MandolinT5.png
MandolinAngryEarthT1,,,,MandolinT1,AngryEarth,Objects/Instruments/Mandolins/MandolinT1/musi_mand_mandolinT1.cdf,,,,,,,,,#4B5F8E,1,0.5,#A3A7AC,0.25,0.68,#849B6C,1,0.28,#86BDFF,0.5,0.8,0.5,#63C5DA,10,MXMI_Mandolin,Mandolin,,
MandolinAngryEarthT2,,,,MandolinT2,AngryEarth,Objects/Instruments/Mandolins/MandolinT2/musi_mand_mandolinT2.cdf,,,,,,,,,#4B5F8E,1,0.5,#A3A7AC,0.25,0.68,#849B6C,1,0.28,#86BDFF,0.5,0.8,0.5,#63C5DA,10,MXMI_Mandolin,Mandolin,,
MandolinAngryEarthT3,,,,MandolinT3,AngryEarth,Objects/Instruments/Mandolins/MandolinT3/musi_mand_mandolinT3.cdf,,,,,,,,,#4B5F8E,1,0.5,#A3A7AC,0.25,0.68,#849B6C,1,0.28,#86BDFF,0.5,0.8,0.5,#63C5DA,10,MXMI_Mandolin,Mandolin,,
MandolinAngryEarthT4,,,,MandolinT4,AngryEarth,Objects/Instruments/Mandolins/MandolinT4/musi_mand_mandolinT4.cdf,,,,,,,,,#4B5F8E,1,0.5,#A3A7AC,0.25,0.68,#849B6C,1,0.28,#86BDFF,0.5,0.8,0.5,#63C5DA,10,MXMI_Mandolin,Mandolin,,
MandolinAngryEarthT5,,,,MandolinT5,AngryEarth,Objects/Instruments/Mandolins/MandolinT5/musi_mand_mandolinT5.cdf,,,,,,,,,#4B5F8E,1,0.5,#A3A7AC,0.25,0.68,#849B6C,1,0.28,#86BDFF,0.5,0.8,0.5,#63C5DA,10,MXMI_Mandolin,Mandolin,,
MandolinCorruptedT1,,,,MandolinT1,Corrupted,Objects/Instruments/Mandolins/MandolinT1/musi_mand_mandolinT1.cdf,,,,,,,,,#2A1A18,1,0.4,#B49A9A,0,1,#5F0006,1,0.78,#411208,0.5,0.8,1,,,MXMI_Mandolin,Mandolin,,
MandolinCorruptedT2,,,,MandolinT2,Corrupted,Objects/Instruments/Mandolins/MandolinT2/musi_mand_mandolinT2.cdf,,,,,,,,,#2A1A18,1,0.4,#B49A9A,0,1,#5F0006,1,0.78,#411208,0.5,0.8,1,,,MXMI_Mandolin,Mandolin,,
MandolinCorruptedT3,,,,MandolinT3,Corrupted,Objects/Instruments/Mandolins/MandolinT3/musi_mand_mandolinT3.cdf,,,,,,,,,#2A1A18,1,0.4,#B49A9A,0,1,#5F0006,1,0.78,#411208,0.5,0.8,1,,,MXMI_Mandolin,Mandolin,,
MandolinCorruptedT4,,,,MandolinT4,Corrupted,Objects/Instruments/Mandolins/MandolinT4/musi_mand_mandolinT4.cdf,,,,,,,,,#2A1A18,1,0.4,#B49A9A,0,1,#5F0006,1,0.78,#411208,0.5,0.8,1,,,MXMI_Mandolin,Mandolin,,
MandolinCorruptedT5,,,,MandolinT5,Corrupted,Objects/Instruments/Mandolins/MandolinT5/musi_mand_mandolinT5.cdf,,,,,,,,,#2A1A18,1,0.4,#B49A9A,0,1,#5F0006,1,0.78,#411208,0.5,0.8,1,,,MXMI_Mandolin,Mandolin,,
MandolinLostT1,,,,MandolinT1,Lost,Objects/Instruments/Mandolins/MandolinT1/musi_mand_mandolinT1.cdf,,,,,,,,,#252525,1,0.1,#A3A7AC,0.25,0.68,#A4A3A3,1,0.6,#A0A0A0,0.1,0.8,0.5,,,MXMI_Mandolin,Mandolin,,
MandolinLostT2,,,,MandolinT2,Lost,Objects/Instruments/Mandolins/MandolinT2/musi_mand_mandolinT2.cdf,,,,,,,,,#252525,1,0.1,#A3A7AC,0.25,0.68,#A4A3A3,1,0.6,#A0A0A0,0.1,0.8,0.5,,,MXMI_Mandolin,Mandolin,,
MandolinLostT3,,,,MandolinT3,Lost,Objects/Instruments/Mandolins/MandolinT3/musi_mand_mandolinT3.cdf,,,,,,,,,#252525,1,0.1,#A3A7AC,0.25,0.68,#A4A3A3,1,0.6,#A0A0A0,0.1,0.8,0.5,,,MXMI_Mandolin,Mandolin,,
MandolinLostT4,,,,MandolinT4,Lost,Objects/Instruments/Mandolins/MandolinT4/musi_mand_mandolinT4.cdf,,,,,,,,,#252525,1,0.1,#A3A7AC,0.25,0.68,#A4A3A3,1,0.6,#A0A0A0,0.1,0.8,0.5,,,MXMI_Mandolin,Mandolin,,
MandolinLostT5,,,,MandolinT5,Lost,Objects/Instruments/Mandolins/MandolinT5/musi_mand_mandolinT5.cdf,,,,,,,,,#252525,1,0.1,#A3A7AC,0.25,0.68,#A4A3A3,1,0.6,#A0A0A0,0.1,0.8,0.5,,,MXMI_Mandolin,Mandolin,,
MandolinAncientT1,,,,MandolinT1,Ancient,Objects/Instruments/Mandolins/MandolinT1/musi_mand_mandolinT1.cdf,,,,,,,,,#532311,1,0.5,#999999,0.3,0.3,#895B30,1,0.8,#AA865A,0.5,0.8,0.5,,,MXMI_Mandolin,Mandolin,,
