WeaponAppearanceID,Name,Description,ItemClass,Art ID Names,Weapon Material name Info,MeshOverride,SkinOverride1,MaterialOverride1,SkinOverride2,MaterialOverride2,SkinOverride3,MaterialOverride3,SkinOverride4,MaterialOverride4,MaskRColor,MaskROverride,MaskR,MaskGColor,MaskGOverride,MaskG,MaskBColor,MaskBOverride,MaskB,MaskASpecColor,MaskASpec,MaskAGlossShift,MaskAGloss,EmissiveColor,EmissiveIntensity,Appearance,FemaleAppearance,MountAttachmentAppearanceId,RDyeSlotDisabled,GDyeSlotDisabled,BDyeSlotDisabled,ADyeSlotDisabled,IconPath,HiResIconPath,IconCaptureGroup
Unarmed,,,,,,,,,,,,,,,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0,#B8B8B8,0,0.5,0,,,,,,,,,,,,
1hShieldAT2_FTUE,,,,ShieldRoundT2,Rust,objects/weapons/shields/shieldroundt2/wep_shld_shieldroundt2_lookbase_MV1.cdf,,,,,,,,,#826B59,0.5,0.5,#877C63,1,0.3,#948E7B,0.5,0.6,#55412A,0.2,0.2,0.1,,,,,,1,1,1,0,,,RoundShield
1hShieldAT2,@1hShieldAT2_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,shieldRoundT2,Stone / Wood,objects/weapons/shields/shieldroundt2/wep_shld_shieldroundt2_lookbase_MV1.cdf,,,,,,,,,#000000,0.8,0.5,#7F766D,0.7,0.3,#6D685A,0.5,0.6,#141414,0.8,0.6,0.1,,,,,,1,1,1,0,lyshineui/images/icons/items/Weapon/1hShieldAT2.png,lyshineui/images/icons/items_hires/1hShieldAT2.png,RoundShield
1hShieldAT3,@1hShieldAT3_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,shieldRoundT3,Iron,objects/weapons/shields/shieldroundt3/wep_shld_shieldRoundT3_lookBase_MV1.cdf,,,,,,,,,#000000,0.8,0.5,#030303,0.5,0.3,#0C0C0C,0.5,0.6,#141414,0.8,0.6,0.1,,,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hShieldAT3.png,lyshineui/images/icons/items_hires/1hShieldAT3.png,RoundShield
1hShieldAT4,@1hShieldAT4_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,shieldRoundT4,Iron,objects/weapons/shields/shieldroundt4/wep_shld_shieldRoundT4_lookBase_MV1.cdf,,,,,,,,,#000000,0.8,0.5,#030303,0.5,0.3,#0C0C0C,0.5,0.6,#141414,0.8,0.6,0.1,#0080FE,10,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hShieldAT4.png,lyshineui/images/icons/items_hires/1hShieldAT4.png,RoundShield
1hShieldAT5,@1hShieldAT5_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,shieldRoundT5,Orichalcum,objects/weapons/shields/shieldroundt5/wep_shld_shieldroundt5_lookbase_MV1.cdf,,,,,,,,,#998D48,0.7,0.3,#030303,0.5,0.3,#8F4E11,0.1,1,#6D5C31,0.35,0.8,0.7,,,,,,0,0,0,0,lyshineui/images/icons/items/Weapon/1hShieldAT5.png,lyshineui/images/icons/items_hires/1hShieldAT5.png,RoundShield
1hRshield_BoundlessWardT5,@1hRshield_BoundlessWardT5_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield+Named,shieldRoundT4,Corrupted Azoth,objects/weapons/shields/shieldroundt4/wep_shld_shieldRoundT4_lookBase_MV1.cdf,,,,,,,,,#9797B0,0.5,0.5,#939CA4,0.5,0.4,#585EA0,1,0.5,#000000,0.5,0.8,0.5,#0080FE,10,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRshield_BoundlessWardT5.png,lyshineui/images/icons/items_hires/1hRshield_BoundlessWardT5.png,RoundShield
1hRoundShieldAngryEarthT2,@1hRoundShieldAngryEarthT2_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,shieldRoundT2,AngryEarth,objects/weapons/shields/shieldroundt2/wep_shld_shieldroundt2_lookbase_MV1.cdf,,,,,,,,,#4B5F8E,1,0.5,#A3A7AC,0.25,0.68,#849B6C,1,0.28,#86BDFF,0.5,0.8,0.5,,,,,,1,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldAngryEarthT2.png,lyshineui/images/icons/items_hires/1hRoundShieldAngryEarthT2.png,RoundShield
1hRoundShieldAngryEarthT3,@1hRoundShieldAngryEarthT3_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,shieldRoundT3,AngryEarth,objects/weapons/shields/shieldroundt3/wep_shld_shieldRoundT3_lookBase_MV1.cdf,,,,,,,,,#4B5F8E,1,0.5,#A3A7AC,0.25,0.68,#849B6C,1,0.28,#86BDFF,0.5,0.8,0.5,,,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldAngryEarthT3.png,lyshineui/images/icons/items_hires/1hRoundShieldAngryEarthT3.png,RoundShield
1hRoundShieldAngryEarthT4,@1hRoundShieldAngryEarthT4_TransmogName,,Weapon+EquippableOffHand+Shield+RoundShield,shieldRoundT4,AngryEarth,objects/weapons/shields/shieldroundt4/wep_shld_shieldRoundT4_lookBase_MV1.cdf,,,,,,,,,#4B5F8E,1,0.5,#A3A7AC,0.25,0.68,#849B6C,1,0.28,#86BDFF,0.5,0.8,0.5,,,,,,0,1,1,0,lyshineui/images/icons/items/Weapon/1hRoundShieldAngryEarthT4.png,lyshineui/images/icons/items_hires/1hRoundShieldAngryEarthT4.png,RoundShield
