WeaponID,BaseWeaponID,DEV Prio,PrimaryUse,IconPath,MaxStackSize,EquipType,DamageStatMultiplier,WeaponMasteryCategoryId,TierNumber,BaseDamage,CritChance,CritDamageMultiplier,BaseStaggerDamage,CritStaggerDamageMultiplier,ReticleName,ReticleTargetName,ReticleRayCastDistance,AmmoType,MaxLoadedAmmo,AutoReloadAmmoSeconds,AmmoMesh,MannequinTag,OffHandMannequinTag,MeshOverride,SkinOverride1,MaterialOverride1,SkinOverride2,MaterialOverride2,SkinOverride3,MaterialOverride3,SkinOverride4,MaterialOverride4,FireJoint,DamageTableRow,TooltipPrimaryAttackData,TooltipAlternateAttackData,AnimDbPath,GatheringTypes,GatheringMultiplier,GatheringEfficiency,MinGatherEFF,MaxGatherEFF,AudioPickup,AudioPlace,Primary Hand,EquipmentCategories,RequiredStrength,RequiredDexterity,RequiredIntelligence,RequiredFocus,ScalingStrength,ScalingDexterity,ScalingIntelligence,ScalingFocus,Resistances,Weaknesses,StatBonuses,StatMultipliers,EquipmentCategoryMultiplier,AttackGameEventID,PhysicalArmorSetScaleFactor,ElementalArmorSetScaleFactor,ArmorRatingScaleFactor,WeightOverride,BlockStaminaDamage,BlockStability,DeflectionRating,DisablePerksOnSheathe,BLAStandard,BLASiege,BLAStrike,BLASlash,BLAThrust,BLAArcane,BLAFire,BLAIce,BLANature,BLALightning,BLACorruption,ABAPoison,ABADisease,ABABleed,ABAFrostbite,ABACurse,RangedAttackProfile,AttachedSpellData,Appearance,FemaleAppearance,CanBlockRanged,ManaCostId,WeaponEffectId,BaseAccuracy,SoundTableID
Unarmed,,1,Combat Melee,LoggingAxe,1,RSword_LeftHolster,,,0,175,0.03,1.3,5,1.5,melee,meleeHaveTarget,3,,,,,2H_Melee,,,,,,,,,,,,,,,Animations/Mannequin/ADB/PlayerMaleAnims_2H_MeleeAttach.adb,None,1,0,,,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0.1,0,0,0,,,,,,DamageEnemyUnarmed,,,,,5,0,0,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,,,89,
LoggingAxe_FTUE,,1,Combat Melee,LoggingAxe,1,RSword_LeftHolster,OneHandAxeDamage,,0,,,,,,melee,meleeHaveTarget,3,,,,,"1H_Melee, Hatchet, Tool",Melee_OH,Objects/Weapons/Melee/Axes/1h/HatchetA/jav_wep_mel1h_hatcheta_t0.cdf,,,,,,,,,handattach,,1H_Tool_Attack,1H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_1H_MeleeAttach.adb,Chopping,1,1.35,2,2,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,20,10,1,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,,Hatchet,89,
1hSkinningKnifeT1,,1,Tool,Skinning,1,RSword_LeftHolster,KnifeDamage,,0,,,,,,melee,meleeHaveTarget,3,,,,,"1H_Melee, Knife, Tool",Melee_OH,Objects/Weapons/Tools/1h/SkinningKnifeA/wep_tl1h_skinningknifea_t1.cdf,,,,,,,,,,,1H_Tool_Attack,1H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_1H_MeleeAttach.adb,Dressing,1,1.35,2,2,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,5,10,1,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,,,89,
1hSkinningKnifeT2,,1,Tool,Skinning,1,RSword_LeftHolster,KnifeDamage,,1,,,,,,melee,meleeHaveTarget,3,,,,,"1H_Melee, Knife, Tool",Melee_OH,Objects/Weapons/Tools/1h/SkinningKnifeA/wep_tl1h_skinningknifea_t2.cdf,,,,,,,,,,,1H_Tool_Attack,1H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_1H_MeleeAttach.adb,Dressing,1,2,2,3.5,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,5,10,1,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,,,89,
1hSkinningKnifeT3,,1,Tool,Skinning,1,RSword_LeftHolster,KnifeDamage,,2,,,,,,melee,meleeHaveTarget,3,,,,,"1H_Melee, Knife, Tool",Melee_OH,Objects/Weapons/Tools/1h/SkinningKnifeA/wep_tl1h_skinningknifea_t3.cdf,,,,,,,,,,,1H_Tool_Attack,1H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_1H_MeleeAttach.adb,Dressing,1,3,3.5,4.5,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,5,10,1,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,,,89,
1hSkinningKnifeT4,,1,Tool,Skinning,1,RSword_LeftHolster,KnifeDamage,,2,,,,,,melee,meleeHaveTarget,3,,,,,"1H_Melee, Knife, Tool",Melee_OH,Objects/Weapons/Tools/1h/SkinningKnifeA/wep_tl1h_skinningknifea_t4.cdf,,,,,,,,,,,1H_Tool_Attack,1H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_1H_MeleeAttach.adb,Dressing,1,5,4.5,6.25,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,5,10,1,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,,,89,
1hSkinningKnifeT5,,1,Tool,Skinning,1,RSword_LeftHolster,KnifeDamage,,2,,,,,,melee,meleeHaveTarget,3,,,,,"1H_Melee, Knife, Tool",Melee_OH,Objects/Weapons/Tools/1h/SkinningKnifeA/wep_tl1h_skinningknifea_t5.cdf,,,,,,,,,,,1H_Tool_Attack,1H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_1H_MeleeAttach.adb,Dressing,1,8,6.25,8.5,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,5,10,1,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,,,89,
1hSickleT1,,1,Tool,Sickle,1,RSword_LeftHolster,OneHandPickDamage,,0,,,,,,melee,meleeHaveTarget,3,,,,,"1H_Melee, Sickle, Tool",Melee_OH,Objects\Weapons\Tools\1h\SickleA\wep_tl1h_SickleA_T1.cdf,,,,,,,,,,,1H_Tool_Attack,1H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_1H_MeleeAttach.adb,Cutting,1,1.35,2,2,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,20,10,1,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,,,89,
1hSickleT2,,1,Tool,Sickle,1,RSword_LeftHolster,OneHandPickDamage,,1,,,,,,melee,meleeHaveTarget,3,,,,,"1H_Melee, Sickle, Tool",Melee_OH,Objects\Weapons\Tools\1h\SickleA\wep_tl1h_SickleA_T2.cdf,,,,,,,,,,,1H_Tool_Attack,1H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_1H_MeleeAttach.adb,Cutting,1,2,2,3.5,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,20,10,1,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,,,89,
1hSickleT3,,1,Tool,Sickle,1,RSword_LeftHolster,OneHandPickDamage,,2,,,,,,melee,meleeHaveTarget,3,,,,,"1H_Melee, Sickle, Tool",Melee_OH,Objects\Weapons\Tools\1h\SickleA\wep_tl1h_SickleA_T3.cdf,,,,,,,,,,,1H_Tool_Attack,1H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_1H_MeleeAttach.adb,Cutting,1,3,3.5,4.5,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,20,10,1,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,,,89,
1hSickleT4,,1,Tool,Sickle,1,RSword_LeftHolster,OneHandPickDamage,,2,,,,,,melee,meleeHaveTarget,3,,,,,"1H_Melee, Sickle, Tool",Melee_OH,Objects\Weapons\Tools\1h\SickleA\wep_tl1h_SickleA_T4.cdf,,,,,,,,,,,1H_Tool_Attack,1H_Tool_Attack,Animations/Mannequin/ADB/PlayerMaleAnims_1H_MeleeAttach.adb,Cutting,1,5,4.5,6.25,Play_Beep1_2D,Play_Beep3_2D,Main,,0,0,0,0,0,0,0,0,,,,,,WeaponHit1,,,,,20,10,1,,1,1,1,1,1,1,1,1,1,1,1,0.4,0.4,0.4,0.4,0.4,,,,,,,,89,
